,entities.hashtags.0.text,entities.hashtags.1.text,entities.hashtags.2.text,entities.hashtags.3.text,entities.hashtags.4.text,entities.hashtags.5.text,entities.hashtags.6.text,entities.hashtags.7.text,favorite_count,reply_count,retweet_count,text,timestamp_ms
0,,,,,,,,,0,0,0,chicken noodle soup sprite amp saltine crackers bomb sick,1539196200666
1,,,,,,,,,0,0,0,Of course football favorite sport Everyone loves big D nice strong O,1539196200666
2,bras,panties,lingerie,,,,,,0,0,0,Looking bras panties complete lingerie set Check large selection beautiful pieces,1539196200666
3,,,,,,,,,0,0,0,I liked video The Live Show October South Africa,1539196200660
4,,,,,,,,,0,0,0,Aoife Thornton Brendan Griffin nominated contest Kerry Fine Gael convention,1539196200666
5,,,,,,,,,0,0,0,If Ruth Bader Ginsburg trailblazer progressive values entire establishment ignored obvious,1539196200665
7,womensart,,,,,,,,0,0,0,Delicate crochetedsewn leaf sculptures UK artist Susanna Bauer womensart,1539196200663
8,,,,,,,,,0,0,0,mama m love criminal,1539196200663
9,,,,,,,,,0,0,0,Too much lean much ice One pint one pint Too much lean much ice One pint one pint TOO MUCH L,1539196200662
10,,,,,,,,,0,0,0,Let s support The Bard s Tale IV,1539196200659
11,Jayz,Wests,,,,,,,0,0,0,It looks like amp Jayz s friendship Wests might good,1539196200663
12,,,,,,,,,0,0,0,Trump Says Former Adviser Dina Powell Just One Of Many Being Eyed For UN,1539196200662
13,,,,,,,,,0,0,0,We chicken work loves attacking I let,1539196200663
14,,,,,,,,,0,0,0,The Conservative candidate London Mayor accused sexism misogny And excuse ludicrous By,1539196200661
15,,,,,,,,,0,0,0,blunt fat comforter rain cuddles fuck,1539196200665
16,preparedness,,,,,,,,0,0,0,Wireless Emergency Alerts help keep amp family uptodate emergency disaster preparedness minu,1539196200666
17,,,,,,,,,0,0,0,voted GOP tax plan add estimated trillion national debt Now he,1539196200657
18,,,,,,,,,0,0,0,Members attacked shot home addresses families live posted online accosted fam,1539196200662
19,,,,,,,,,0,0,0,Sarkodie rapper commissioner advice,1539196200658
20,,,,,,,,,0,0,0,die migrant boat sinks Turkey Aegean coast,1539196200661
21,FortifyFL,,,,,,,,0,0,0,A new app FortifyFL may help keep schools safer Available Apple Store Google Play,1539196200666
