,entities.hashtags.0.text,entities.hashtags.1.text,entities.hashtags.2.text,favorite_count,reply_count,retweet_count,text,timestamp_ms
0,,,,0,0,0,want somebody gone come nap dates lol,1539196380660
1,TheFlash,,,0,0,0,Like father like daughter Thanks watching Stream free next day The CW App TheFlash,1539196380661
2,,,,0,0,0,Thought I sick I actually sick sick Damn,1539196380664
3,,,,0,0,0,Yes When UK negotiates like spoilt teenager saying magic,1539196380666
4,,,,0,0,0,Brie Larson pure world,1539196380666
5,,,,0,0,0,When told boss leaving yet sees Health Department getting medically cleared new job,1539196380662
7,,,,0,0,0,Chocolate Chip Cookies,1539196380664
8,,,,0,0,0,Y hell app man,1539196380662
9,,,,0,0,0,Don get wrong I wish different hellbent making situa,1539196380665
10,,,,0,0,0,two talkcompare notes,1539196380661
14,,,,0,0,0,And America turkey enesnt,1539196381658
15,,,,0,0,0,UNfun fact air brush make DOES NOT come,1539196381661
16,,,,0,0,0,Tencent joins forces Brazilian fintech Nubank,1539196381664
17,ImpactWrestling,ChrisJericho,Boundforlory,0,0,0,Chris Jericho Reportedly Negotiating For More Than One Impact Appearance ImpactWrestling ChrisJericho Boundforlory BF,1539196381661
18,BeforeNetflixAndChill,,,0,0,0,Toonami amp THC BeforeNetflixAndChill,1539196381662
19,,,,0,0,0,Between Africa lost around million men slavery United States Caribbean South America,1539196381658
20,Fortnite,,,0,0,0,Temple Run x Fortnite Credit,1539196381658
21,,,,0,0,0,Kevin Cramer belong Senate I donated make sure get You ca,1539196381661
22,,,,0,0,0,The young people win,1539196381663
23,,,,0,0,0,Hypocrisy Melania rolls,1539196381662
24,,,,0,0,0,And winner Fat Bear Week Beadnose All hail Queen Learn,1539196381661
25,CanadianThanksgiving,HappyCanadianThanksgiving,,0,0,0,Yeah lt It s gt CanadianThanksgiving Happy Canadian Thanksgiving HappyCanadianThanksgiving Happy Thanksgiving C,1539196382658
26,PSAT,,,0,0,0,When u get separated ur dolphin friends PSAT,1539196382659
27,,,,0,0,0,MY TWO TINY BABIES THEYRE SO PRECIOUS,1539196382663
28,,,,0,0,0,So one worst hurricanes history hitting Florida coast IdiotinChief holding,1539196382664
29,,,,0,0,0,never forget ixine asked everyone room power could name vic mensa song one could,1539196382659
31,suicideprevention,,,0,0,0,Perhaps one effective suicideprevention measures government could take would stop rollout U,1539196382664
33,,,,0,0,0,This video shows ABB Ability Collaborative Operations helps customers productive advanced data,1539196382662
34,,,,0,0,0,Self confidence time LOW,1539196382660
35,,,,0,0,0,I get I nt th,1539196382665
36,,,,0,0,0,It beThe unknown guy Gym,1539196382661
37,Technology,,,0,0,0,AT amp T s WarnerMedia Launch New Streaming Service Fourth Quarter Technology,1539196382658
38,,,,0,0,0,More SS campaign,1539196381663
39,,,,0,0,0,Dressing well important smelling good IMPOANTER,1539196383657
40,,,,0,0,0,Leverage OPM Myths via,1539196383662
41,psat,psat2018,,0,0,0,leave miserable one star review product nt even purchase psat psat,1539196383657
42,,,,0,0,0,strippy candy things,1539196383663
43,,,,0,0,0,A gentleman walk class mins late glass bowl full chicken tea cup Wtf classmates,1539196383657
44,,,,0,0,0,That whole tweet,1539196383659
45,,,,0,0,0,think born irritated mfs really getting damn nerves,1539196383660
