,entities.hashtags.0.text,entities.hashtags.1.text,entities.hashtags.2.text,entities.hashtags.3.text,entities.hashtags.4.text,favorite_count,reply_count,retweet_count,text,timestamp_ms
0,,,,,,0,0,0,I HATE VIDEO GAMES,1539195480663
1,,,,,,0,0,0,Good Morning My Friends God bless You God bless USA God bless God bless God bless,1539195480665
2,Kavanaugh,,,,,0,0,0,Kavanaugh Comments In That Hearing Raise Ethics Questions That Will Likely Follow Him Whether Or Not He s Confirmed ht,1539195480657
3,UKEdChat,,,,,0,0,0,Read Minimise Marking Focus Feedback UKEdChat,1539195480660
4,,,,,,0,0,0,OPINION NIGERIA IS A CANCER KILLING VIRUS,1539195480665
6,,,,,,0,0,0,Me leaving party showing hours late socializing minutes,1539195480658
7,,,,,,0,0,0,Providing restaurant review with understanding city s dining market could shortened to,1539195480660
8,,,,,,0,0,0,ICYMI visiting ICE Immigration Center Florida blocks away I live Candace explai,1539195480666
9,,,,,,0,0,0,Hello Twitter needs linebyline take nonsensefilled oped,1539195480658
10,,,,,,0,0,0,Not games,1539195480663
11,,,,,,0,0,0,Apparently World Mental Health Day contribution agoraphobia fear open spaces Please,1539195480659
12,,,,,,0,0,0,Attn North East Centres We still places available Tutor Training day Gateshead International,1539195480658
13,,,,,,0,0,0,All locals never know m hoe,1539195480664
14,,,,,,0,0,0,Honor YOUR VISION Stay True To It,1539195480661
15,,,,,,0,0,0,Change bitter Can learn like flavor hate,1539195481657
16,,,,,,0,0,0,like talk sometimes like care I interested,1539195481663
17,BTSLoveYourselfTour,O2,BTS,btsinlondon,,0,0,0,BTSLoveYourselfTour In London At O O BTS btsinlondon,1539195481657
18,CupsofCare,,,,,0,0,0,We d like take opportunity say THANK YOU To community making CupsofCare success partner coffee s,1539195481663
19,,,,,,0,0,0,gays tryna see lil AYOOOOO,1539195481665
20,,,,,,0,0,0,Girls Generation s Yuri talks junior idols feel young,1539195481663
21,,,,,,0,0,0,face Shownu made flexing lol cutie,1539195481665
22,,,,,,0,0,0,I looked thought Popeyes bout start selling fucking weed,1539195481660
23,,,,,,0,0,0,Are going to,1539195481660
24,WorldMentalHealthDay,,,,,0,0,0,A thread WorldMentalHealthDay,1539195481666
25,,,,,,0,0,0,Where I rather,1539195481661
26,,,,,,0,0,0,Jackson Katz social researcher asked men daily basis avoid sexually assaulted Then he,1539195481660
27,Hair,Beauty,Fashion,Celebs,MakeUp,0,0,0,LVMH Says China Crackdown Daigou Shoppers Good News Hair Beauty Fashion Celebs MakeUp,1539195481666
28,,,,,,0,0,0,BULLIES Rutgers University threatening cancel talk Ironically talk freedom speech campus,1539195481665
29,WebDesign,SEO,digitalmarketing,,,0,0,0,How long SEO take start working Find WebDesign SEO digitalmarketing,1539195481659
30,,,,,,0,0,0,British twitter see American microwaving water tea,1539195481662
31,,,,,,0,0,0,Now reinvented phone time kill phone We need feature says make phone rin,1539195482657
32,,,,,,0,0,0,Still got craft perfect,1539195482662
33,,,,,,0,0,0,Will rioting electorate respond,1539195482662
34,HurricaneMichael,,,,,0,0,0,We continuing closely monitor HurricaneMichael makes landfall Our Incident Command team fully operational,1539195481664
35,,,,,,0,0,0,Charteramendment campaigns lopsided contributions spending,1539195482658
36,Supernatural,TheScifiFantasyShow,pcas,,,0,0,0,I voted Supernatural TheScifiFantasyShow Cast vote E People s Choice Awards pcas,1539195482657
37,,,,,,0,0,0,So appareantly I ca nt JPG filed yet I JPEG PNG What cherry cake I m glad reformatting extremely simple,1539195482661
38,,,,,,0,0,0,That right,1539195482665
39,,,,,,0,0,0,damn nigga said,1539195482657
40,nutellaforever,nomnomnom,thisistrue,youcantpleaseeveryone,,0,0,0,We Nutella Gim nutellaforever nomnomnom thisistrue youcantpleaseeveryone,1539195482664
41,,,,,,0,0,0,Just posted photo,1539195482666
42,,,,,,0,0,0,Tomorrow show The Machine comedian Bert Kreischer,1539195482664
43,,,,,,0,0,0,LOOOOOOOOOOOOOOOOOOOOOOOOOL Santorini without filter,1539195481659
44,,,,,,0,0,0,UN Report We years make immediate changes climate change causes irreparable disaster Republicans,1539195483666
45,Kettlebell,Exercises,,,,0,0,0,Kettlebell Exercises equivalent running minute mile pace,1539195483665
46,,,,,,0,0,0,New Listing DUCKWOH Street Unit St Johns L,1539195483657
47,,,,,,0,0,0,Seals dogs sea,1539195483659
48,,,,,,0,0,0,This morning mom dad woke without daughter siblings woke without sister Her classmates w,1539195483660
49,bassfishing,,,,,0,0,0,Bass Facts You Probably Didn Know bassfishing,1539195483665
50,,,,,,0,0,0,Me hearing bf phone waiting say I I w girl rn,1539195483657
51,,,,,,0,0,0,Adam years old time Don act like racism recent,1539195483662
52,,,,,,0,0,0,Woman abandoned Libyan coast guard recovering Spain Washington Post,1539195483658
53,,,,,,0,0,0,What would one expect woman enabled husbands behavior attacking accusers was,1539195482663
54,CNN,FakeNews,,,,0,0,0,CNN trusted name FakeNews,1539195483658
55,,,,,,0,0,0,This useful information s insane Native voters go process vote state,1539195483664
56,,,,,,0,0,0,CNN Debates What Constitutes A Mob Are You The Moderator Or Are You Arguing A Liberal Talking Point The D,1539195483657
57,,,,,,0,0,0,Let s connect Nigerians With tweet Follow Retweet reply ifb follow back get followed Follow,1539195483666
58,,,,,,0,0,0,What would one expect woman enabled husbands behavior attacking accusers was,1539195482663
59,,,,,,0,0,0,ISAC SKEDUNG,1539195484666
60,,,,,,0,0,0,Television must shit That s go Trumpy grumpy rallyHopefully may even keep bi,1539195484665
61,AMAs,,,,,0,0,0,A woman pure elegance beauty AMAs Rich Fury via,1539195484662
62,,,,,,0,0,0,Fox News Crushes CNN And MSNBC In Ratings Has More Viewers Than Both Networks Combined,1539195484665
63,,,,,,0,0,0,Portland Police Want To Charge Driver With Crimes After Escaping Mob Protest Violent Protesters Considered Victims,1539195484666
