,entities.hashtags.0.text,entities.hashtags.1.text,entities.hashtags.2.text,entities.hashtags.3.text,entities.hashtags.4.text,entities.hashtags.5.text,favorite_count,reply_count,retweet_count,text,timestamp_ms
0,,,,,,,0,0,0,Our Mom Hanjum Like A Savior Hanjum,1539195660657
1,,,,,,,0,0,0,Just clear confusion I m delegitimize men s struggles I m hoping finally start l,1539195660657
2,Cashaa,cashaa,cas,investment,retirement,crypto,0,0,0,If thinking future think Cashaa cashaa cas investment retirement crypto blockchaintec,1539195660660
3,Midweek,Expressions,,,,,0,0,0,Winepress Ministration I nt mind waiting I nt waiting Lord Midweek Expressions,1539195660659
4,,,,,,,0,0,0,The moment I get home I taking big time nap I earned worked hard,1539195660664
5,,,,,,,0,0,0,The pain passes keep wearing start notice,1539195660658
6,SHSMD18,pinksocks,,,,,0,0,0,Yes Way go SHSMD pinksocks,1539195660666
7,SchwabIMPACT,,,,,,0,0,0,What career path take become independent advisor University students attended SchwabIMPACT le,1539195660663
8,fashionnova,,,,,,0,0,0,My loves fashionnova,1539195660659
9,,,,,,,0,0,0,th June date announced Book,1539195660660
10,,,,,,,0,0,0,I wish vote yes course many new dey flash mind ni God help nigeria,1539195660662
11,UFC229,,,,,,0,0,0,Derrick Lewis posted Instagram No comment UFC,1539195660657
12,,,,,,,0,0,0,Dear Students years old parents amp grandparents remember thing called smog Air thick could chok,1539195660666
13,jinkook,,,,,,0,0,0,jimin praised look Jin jinkook,1539195660658
14,,,,,,,0,0,0,Lunch break thoughts NoJumper interviews slap,1539195660661
15,accessibility,,,,,,0,0,0,Full details accessibility compliance available,1539195660658
16,TheLoudHouse,,,,,,0,0,0,Everybody Loves Leni clip TheLoudHouse,1539195661664
17,,,,,,,0,0,0,You watch,1539195661659
18,,,,,,,0,0,0,Accurate Rapido Package Handling West Jordan UT,1539195661660
19,,,,,,,0,0,0,want sakuraiblue fantasy eveyrone game voiced sakurai gran lyria eveyrone,1539195661663
20,,,,,,,0,0,0,made great video talmage This summer training,1539195660662
21,ShantanuMaheshwari,IndiasBestDramebaaz,,,,,0,0,0,ShantanuMaheshwari talks amazing journey IndiasBestDramebaaz,1539195661663
22,,,,,,,0,0,0,wish could bend break like world,1539195661664
23,,,,,,,0,0,0,Drugs injection,1539195661657
24,,,,,,,0,0,0,Sharpened claws eye itches I scratch Send help,1539195661665
25,,,,,,,0,0,0,Yeah I May time get new computer I Vista shortlived versio,1539195661665
26,,,,,,,0,0,0,Do nt run Run I,1539195661665
27,,,,,,,0,0,0,Like dont usually tweet rant shit honestly want die hate life gnna jus,1539195661660
28,,,,,,,0,0,0,one person followed automatically checked,1539195661661
29,WorldMentalHealthDay,,,,,,0,0,0,Prime Minister Justin Trudeau statement WorldMentalHealthDay,1539195661660
30,WorldMentaHealthDay,CatsOfTwitter,,,,,0,0,0,Today WorldMentaHealthDay let erase stigmas surrounding mental health CatsOfTwitter,1539195662666
31,,,,,,,0,0,0,Thanks much,1539195662666
32,,,,,,,0,0,0,I m high key mad way Kane brown said name,1539195662663
33,,,,,,,0,0,0,Absolutely skint I getting nothing food ads YouTube,1539195662657
34,,,,,,,0,0,0,OutrageousUnjust R North Dakota make harder Native Americans vote Requiring street address many t,1539195662661
35,,,,,,,0,0,0,He gives thumbs,1539195662657
36,,,,,,,0,0,0,LIVE LIVE LIVE,1539195662664
37,,,,,,,0,0,0,im still outside n got ta finish atleast commission today got ta add flat colors im done w splat,1539195662660
38,,,,,,,0,0,0,We off,1539195662664
39,,,,,,,0,0,0,Looking Offpage SEO Backlinks Expert Or iTunes podcast promoter Please Conta,1539195662661
40,HurricaneMichael,,,,,,0,0,0,HurricaneMichael made landfall Mexico Beach Florida winds increased knots mph absolute t,1539195662664
41,,,,,,,0,0,0,DR Congo Ministry Health say new Ebola cases confirmed Total number cases Total number confir,1539195662664
42,,,,,,,0,0,0,Being disrespectful teacher cool funny,1539195662663
43,,,,,,,0,0,0,Flu season dap strictly head nods take personal,1539195662660
44,,,,,,,0,0,0,When I school used remove rucksacks back people taking straps shoulders,1539195662659
45,,,,,,,0,0,0,odd flex ok,1539195662664
46,,,,,,,0,0,0,You would boss like sass player breaks blinding speed,1539195662664
47,,,,,,,0,0,0,Power Rsy BOSS,1539195662658
48,,,,,,,0,0,0,Hi lay im stuby English korae and China im ithing day see a,1539195662661
49,,,,,,,0,0,0,ca nt destroy hypocrisy summary mob violence enemies indulgence wrongdoing friends is,1539195662663
50,,,,,,,0,0,0,Panini Illusions Josh Rosen Rookie Endorsements Auto Cardinals End Date Wednesday Oct,1539195662666
51,,,,,,,0,0,0,Phew We ca nt believe already weeks since hosted National Just Communities conference Th,1539195662664
52,,,,,,,0,0,0,Hackers,1539195663658
53,,,,,,,0,0,0,AZEALIA TALKS SO MUCH SHIT ON EVERYONE ALL THE FUCKING TIME BUT WHEN LANA TELLS HER TO PULL UP THIS BITCH TALKS ABOUT SUIN,1539195663659
54,,,,,,,0,0,0,posting ya ooc fix ya face call nobody else ugly period ole weird bitter asses,1539195663664
55,grownfolknames,,,,,,0,0,0,Margaret Mattie Ann Ophelia Lol grownfolknames,1539195663659
56,,,,,,,0,0,0,Truly Need A Blunt Man,1539195663658
57,,,,,,,0,0,0,handsome mashallah,1539195663658
58,,,,,,,0,0,0,The team continue removing remainder dogs South Korean dog meat farm official cl,1539195663666
59,,,,,,,0,0,0,That already happened,1539195663661
60,WorldMentaHealthDay,,,,,,0,0,0,WorldMentaHealthDay please support personality disorders post traumatic stress disorder psychotic d,1539195663657
61,,,,,,,0,0,0,evidently gillum disastrous record preparation care last hu,1539195663663
62,,,,,,,0,0,0,Most Sudanese companies nt wan na work I talk government ones wan na work d,1539195663665
63,,,,,,,0,0,0,Phew We ca nt believe already weeks since hosted National Just Communities conference Th,1539195662664
64,MentalHealthDay2018,mentalhealth,,,,,0,0,0,Sometimes worst place world inside head MentalHealthDay mentalhealth,1539195663662
65,,,,,,,0,0,0,Ethiopian PM meets soldiers demanding pay rises TV via,1539195663658
66,,,,,,,0,0,0,Boneless Pork Loin Is On Sale For Only lb,1539195663666
67,,,,,,,0,0,0,From man said d win nomination President,1539195663666
68,,,,,,,0,0,0,The genuine winners selection amp quick prize distribution platform Congo winners,1539195663658
69,,,,,,,0,0,0,If re wearing cap re friend mine And probably unemployed vagrant s really point,1539195664657
70,,,,,,,0,0,0,Get back game sexy girls sports bras,1539195664666
71,,,,,,,0,0,0,Let know available conversation,1539195663657
72,,,,,,,0,0,0,Sounds right,1539195664665
73,,,,,,,0,0,0,New photoshoot Evan Peters Icon Magazine,1539195664657
74,,,,,,,0,0,0,I saw last night,1539195664657
75,,,,,,,0,0,0,And begins,1539195664664
76,,,,,,,0,0,0,A microwave,1539195664662
77,,,,,,,0,0,0,These new docs show shady cashbased relationship Obama FBI Clinton operative Christopher Steele The,1539195664664
78,,,,,,,0,0,0,IS religious experience,1539195664666
79,,,,,,,0,0,0,Hey You help win product free Limeroad Just click link Cut The Price It take,1539195664660
81,,,,,,,0,0,0,Britney Spears Grooming Son To Become NFL Player Gossip Cop,1539195664664
82,,,,,,,0,0,0,This seems fine,1539195664657
83,,,,,,,0,0,0,Let know available conversation,1539195663657
84,Innovation,,,,,,0,0,0,How convene amp facilitate Innovation That time kicked Philadelphia first Innovation Summit w great partn,1539195662665
85,,,,,,,0,0,0,I grown Call address,1539195665657
86,,,,,,,0,0,0,Were type people breed We need build wall around keep hurting others noti,1539195665663
87,,,,,,,0,0,0,small accounts m okay yall big accounts omg really need take shit yall omg baby stay safe love u,1539195665663
88,,,,,,,0,0,0,people followed one person unfollowed automatically checked,1539195665666
89,,,,,,,0,0,0,Tomorrow National sex day thing fucking life,1539195665663
90,TheRoastofSenpai,MammaTrollsThomas,,,,,0,0,0,I looking forward TheRoastofSenpai MammaTrollsThomas,1539195665661
91,,,,,,,0,0,0,Democrats become totally unhingedthey gone crazy President Trump IF YOU AGREE WITH,1539195665657
92,,,,,,,0,0,0,Hillary Clinton We ca nt civil Repubs Eric Holder When Repubs go low kick Antifa Do say we,1539195665665
