,entities.hashtags.0.text,entities.hashtags.1.text,favorite_count,reply_count,retweet_count,text,timestamp_ms
0,,,0,0,0,NOT WHO YOU CONTROL part four relates back teaser district,1539194760657
1,,,0,0,0,I single hard af actually interested somebody I finally fuck lmaooo,1539194760658
2,ڈونکی_ڈالر_ٹوائلٹ,,0,0,0,What diffrent Niazi king donky king,1539194760666
3,,,0,0,0,ALL MY CLASSES CANCELLED,1539194760657
4,MentalHealth,,0,0,0,What MentalHealth needs sunlight unashamed conversations illnesses affect individua,1539194760664
5,,,0,0,0,I m live YouTube pm UK time pm EST This Week Alt Right special guest well as,1539194760662
6,,,0,0,0,It hard feel like fans biggest open secret universe BTS huge subculture,1539194760666
7,,,0,0,0,Thanks always fucking class,1539194760666
8,,,0,0,0,FUCK IM A PIECE OF SHIIITTTTTTTT,1539194760664
9,,,0,0,0,If want followers Retweet amp like this Follow amp like Followback everyone Turn notificat,1539194760666
10,,,0,0,0,child mental health important grades,1539194760665
11,,,0,0,0,back three years later say song still kills n legendary RM,1539194760663
12,,,0,0,0,OK Noted,1539194760659
13,,,0,0,0,Thanks insight This actually encourages bit exploration magic syste,1539194760665
14,,,0,0,0,nobody block blessing meant,1539194760663
15,,,0,0,0,He tweeting much,1539194760657
16,,,0,0,0,It s good n exciting see,1539194760660
17,,,0,0,0,When I see security camera screen thing target self checkout,1539194761665
18,,,0,0,0,Seventy years ago December countries came together end World War II offer world roadmap for,1539194761664
19,,,0,0,0,PLZ SHARE RECIPE K THX,1539194761661
20,,,0,0,0,Love certain ones never get attached em,1539194761663
21,climatechange,drought,0,0,0,Scary stuff climatechange drought,1539194761658
22,,,0,0,0,Ouch,1539194761658
23,,,0,0,0,Lord forgive reading tweet head,1539194761663
24,,,0,0,0,Two best teams planet fun,1539194761661
25,,,0,0,0,Thank VERY important Registering To VOTE deadlines ALL STATES Wake Up America Especially young,1539194761664
26,,,0,0,0,Remember Always take care nt afraid reach things tough Everything fine,1539194761657
27,,,0,0,0,Unfortunately fucked England,1539194761664
28,,,0,0,0,She walked building take selfie left,1539194761661
29,kitchen,,0,0,0,Small kitchen If kitchen accommodate small dining area position table island parallel the,1539194761661
30,CarruselAndorra,7DAYSEuroCup,0,0,0,Q MB BRE CarruselAndorra DAYSEuroCup,1539194762657
31,,,0,0,0,Ok shut bitch,1539194762661
32,,,0,0,0,Never,1539194762664
33,,,0,0,0,Saturday s halftime performers want see Investors Group Field game day Get ticket,1539194762663
34,TerrorOfMechagodzilla,,0,0,0,Our next episode TerrorOfMechagodzilla,1539194762662
35,,,0,0,0,Cancel,1539194762662
36,,,0,0,0,Jacks said learnt korean thru books year learnt korean dating He said dated pe,1539194762660
37,,,0,0,0,BREAKING We re suing get statewide extension Florida s voter registration deadline wake Hurricane Michael No,1539194762666
38,,,0,0,0,Happy birthday fell,1539194762662
39,,,0,0,0,That nature political disagreement Which precisely civility necessary settle suc,1539194762660
40,,,0,0,0,The marketing Bad Times El Royale basically Chris Hemsworth shirtless And s I call effectiv,1539194762660
41,,,0,0,0,I pay halter,1539194762661
42,,,0,0,0,Apparently I m better job without Inktober prompts sooo long fuckers,1539194762660
43,,,0,0,0,Gagabornthisway version relaunch GO,1539194762662
44,,,0,0,0,agreed,1539194762665
45,,,0,0,0,This serious issue Senior DOJ FBI officials talking overthrowing illicit means,1539194762662
46,,,0,0,0,look eyes tell money saved retirement important QTs like,1539194762664
47,,,0,0,0,WHAT OMGHJSJSJS,1539194763663
48,,,0,0,0,After eating Noodles Yoruba Pepper Buh s cup water view,1539194763657
49,,,0,0,0,COMMON SENSE FROM Tommy Robinsonarmy lads pic saga He rightly states army political amp,1539194763661
50,,,0,0,0,It s fascinating telling acknowledgement treated throwaway line always buried deep a,1539194763660
51,,,0,0,0,Twoyearold battling leukaemia Mom pleads assistance,1539194763659
52,Supernatural,,0,0,0,It s long summer Supernatural back TOMORROW c The CW Stream free next day The CW App,1539194763664
53,,,0,0,0,Me listening Mac Miller days,1539194763662
54,,,0,0,0,HEATHER HEYER,1539194763665
55,,,0,0,0,My friend long years meet family Mom tum kon hoo beta Me aree mumma woh joh Choti,1539194763662
56,,,0,0,0,ppl LA bedspace shared closet hood currently girls bathrooms month,1539194763662
57,,,0,0,0,video XXX sex school Erotica XXX wet Porno pussy XXX Nina free MILF porn clips video Sex,1539194763661
58,,,0,0,0,JUST IN High Court nullifies Primaries conducted APC Rivers Following judgment APC longer,1539194763658
59,,,0,0,0,Walker Stapleton running highly respected Republican Candidate Governor Great State Colorado,1539194763664
60,,,0,0,0,Stranger Things Glitch The OA,1539194763666
61,,,0,0,0,never heard law well amp get way,1539194763665
62,,,0,0,0,hate suspicious things damn gut feeling really always right,1539194762663
63,,,0,0,0,I grateful siblings I safe,1539194764663
64,,,0,0,0,I monthly phone conferences courts regards clients one coordinators Queens has,1539194764664
65,,,0,0,0,His still throws,1539194764662
66,,,0,0,0,freeway closed eastbound Wildhorse Casino near Pendleton What expected delay time,1539194764658
67,,,0,0,0,Cristiano Ronaldo player nominated Ballon dOr consecutive years guy the,1539194764657
68,WorldMentaHealthDay2018,,0,0,0,Its WorldMentaHealthDay I longtime survivor depression generalized anxiety disorder OCD Shar,1539194764660
69,,,0,0,0,Sure Jan where witnesses police report Surely dear loving parents reported police What we,1539194764661
70,,,0,0,0,tiny tim GOAT,1539194764666
71,,,0,0,0,ooya send Itel S sharp sharp,1539194764665
72,,,0,0,0,There HBPs postseason PbP database came higher leverage spot Craig Kimbrel s,1539194764658
73,,,0,0,0,WIN,1539194764666
74,,,0,0,0,stop,1539194764664
75,,,0,0,0,Good see could take time terrible himam pander veterans,1539194762658
76,3DaystoJMDay,,0,0,0,DaystoJMDay JM s BDay hash tags JiminBornToShine JiminStardustaDay,1539194763657
77,,,0,0,0,Based hurricane hunter data radar data satellite loop s case Michael may intensified sli,1539194764664
78,,,0,0,0,Nasdaq composite testing week MA like early Feb April Will outcome Chart via,1539194763665
79,,,0,0,0,I writing paper public relations class see quickly content shared hours across network j,1539194765659
80,ThinkForward,,0,0,0,Behind scenes BlueJeans ThinkForward City Tour Join us tonight hear a,1539194765664
81,,,0,0,0,Thank Ambassador willingness serve represent great country honor class a,1539194765663
82,,,0,0,0,We aware reported issue cause lobby disconnects v Gnashers potentially resulting timeout pe,1539194765659
83,,,0,0,0,stresssheds eyelashes,1539194765662
84,,,0,0,0,I liked video Ice Poseidon Gets Kicked Out Of His Hotel Room,1539194765663
85,,,0,0,0,Democrats make ads asap release especially considering Republicans trying portray t,1539194765657
86,,,0,0,0,I dealing w nobody bs anymore I blocking everybody periodt,1539194765663
87,,,0,0,0,Khumosh right Mercury character story,1539194765659
88,makeup,hudabeauty,0,0,0,Sapphire Obsessions makeup hudabeauty makeupartist,1539194765657
89,,,0,0,0,never funny nicest thing anyone ever said,1539194766657
90,,,0,0,0,You see soul leave soon said,1539194766659
91,,,0,0,0,It s National Fire Prevention Week Keep family safe brushing steps,1539194766661
92,America,,0,0,0,Hey America remember nasty old days Thank God real leader make us forget,1539194766660
93,,,0,0,0,promise nobody earth would give edibles away kids free,1539194766662
94,,,0,0,0,Cracks much fuckers care someone totally irrelevant politics,1539194766664
95,,,0,0,0,I could nt proud,1539194766664
96,,,0,0,0,GODZILLA THE PLANET EATER Releases First TRAILER,1539194766659
97,,,0,0,0,bollywood whenever huge sets built period film detailed making videos circulated,1539194766663
98,,,0,0,0,I DONT WAN NA RISE N GRIND NO MORE I JUST WAN NA CRY,1539194766661
99,,,0,0,0,Wishing HAPPY BIHDAY pawsome pal RUPE Feerless Leader amp ZombieSquad pals Hope your,1539194761659
100,,,0,0,0,A Photographer Guide Artistic Bokeh,1539194766665
101,,,0,0,0,If hesitate,1539194765660
102,,,0,0,0,tryna go half child,1539194763662
103,,,0,0,0,You put time In one mfer soon notice putting much amp fall back act like played,1539194767666
104,,,0,0,0,A London flat sold m princess demands m carriage ride news report shows people died homeless,1539194767664
105,,,0,0,0,Corrected link,1539194767664
106,,,0,0,0,BREAKING NEWS EAA SOUTHERN STORAGE RESERVOIR AUTHORIZED,1539194767661
107,albertapoli,,0,0,0,I hope Alberta voters paying attention albertapoli,1539194767659
108,,,0,0,0,Men s deepest insecurity fear wrong That s cling stuff identify opinions beliefs,1539194767664
109,twitterversary,,0,0,0,No know Tupac twitterversary,1539194767663
110,,,0,0,0,Bastion s new zombie emote made extra precious undead Ganymede shuffling along,1539194767663
111,,,0,0,0,AT ALL,1539194767658
112,,,0,0,0,evening falls I m left thoughts image someone else well s eating,1539194767663
113,Supergirl,,0,0,0,This new Supergirl sunday,1539194767660
114,,,0,0,0,love xx,1539194768666
115,,,0,0,0,All one post These Kissables see,1539194768661
116,,,0,0,0,When homeless felonies name This man helped inspire go dreams Now I m,1539194768658
117,,,0,0,0,You running hot running cold today extra passi More Scorpio,1539194768666
118,,,0,0,0,cancel,1539194768665
119,,,0,0,0,I honestly understand Public speaking class mandatory I know somewhat benefit but,1539194768660
120,,,0,0,0,This newspaper broke Watergate,1539194768661
121,Followers,Time,0,0,0,Dear Followers Hello Thanks For Following us Time nt know made follow us bu,1539194768658
122,,,0,0,0,always say good things never last I know cause I broken,1539194769658
123,,,0,0,0,Lol quoted website clearly say left oriented website Which clearly means authenticity i,1539194769662
124,,,0,0,0,Would love go Still available I DM,1539194769665
125,,,0,0,0,knew d sad missing Rezz Rocks damn fkn sad,1539194769661
126,,,0,0,0,GIM ME THE LOOT WHEN I NOW THAT HOOT AND THE POOTY GOT TA A DUUD I BE ON THAT FOOD,1539194769662
127,,,0,0,0,smile camera I hope really go jail NO ONE SHOULD THREATEN ANYONE,1539194769659
128,,,0,0,0,DO NT BELIEVE THE BULL ADOPT A PIT TSHI KnM via,1539194769665
129,BenjukaFranklin,Limbe,0,0,0,Can identify BenjukaFranklin Please inform relatives mortal remains Limbe Regional Hos,1539194769661
130,,,0,0,0,Follow everyone Likes amp Retweets,1539194769661
131,,,0,0,0,Every girl one boy never lose feelings,1539194769657
132,,,0,0,0,Who best fast food burger,1539194769658
133,,,0,0,0,The beautiful video,1539194769658
134,,,0,0,0,yall dumbasses voted harambe aint forget,1539194769660
135,Brekko,,0,0,0,Kabooooom biggest n baddest breakfast show ya wasee wa ghetto Brekko outtah kisii county tuned,1539194769663
136,,,0,0,0,He got family leave nigga alone lol,1539194769665
137,,,0,0,0,This week join Jamie Dornan amp Rosamund Pike This Friday pm,1539194769661
138,,,0,0,0,All media sponsor appearances h e lp,1539194769659
139,,,0,0,0,af,1539194769661
140,,,0,0,0,Our intelligence community briefed GOP R McConnell Who Controlled Senate RUSSIANS Are Attacking Election r,1539194769665
141,,,0,0,0,Asked would also instruct army shoot kill Palestinian children breach border fence Bennett s,1539194769663
142,,,0,0,0,Porus Ep Coming Up Next,1539194769658
143,,,0,0,0,Can someone son love already,1539194770660
144,,,0,0,0,Askip,1539194770664
145,,,0,0,0,And I need Claire breeks,1539194770657
146,,,0,0,0,Terrorists Attack Syrian Army Aleppo Claiming Withdrawal Demilitarized Zone,1539194770660
147,,,0,0,0,One issue country faces unfairly educators treated O Rourke stated He declared teachers strugg,1539194770661
148,,,0,0,0,take methods methods content test friday,1539194770661
149,,,0,0,0,Create magical world books pupils We re giving away fantastic set handcrafted book signposts bri,1539194770663
150,PCAs,BlakeShelton,0,0,0,Giving PCAs votes fav BlakeShelton TheCountryArtist,1539194770661
151,,,0,0,0,What gorgeous girl How sad looking forever home twilight years,1539194770664
152,,,0,0,0,exciting Happy new home,1539194770665
153,Prince,Weather,0,0,0,pm Mainly Sunny C Wind N kmh Barometer kPa v Vis km Hum Prince Albert Weather,1539194770662
154,,,0,0,0,Flow steroids,1539194770659
155,,,0,0,0,Responding lawsuit alleges Trump camp Roger Stone worked Russia WikiLeaks publish hacked DN,1539194770658
156,,,0,0,0,Where,1539194770662
157,,,0,0,0,Yeahhhh man thinks women like pets saying things like If nt behave controlling abusive piece o,1539194770659
158,,,0,0,0,SOME NEWS,1539194770659
159,,,0,0,0,A grown ass man communicating goofy uploaded,1539194770661
160,,,0,0,0,got damn ocean crashed,1539194770665
161,,,0,0,0,The episode also usual villains amp vogues guys Rosalee teams Hero episode As usual it,1539194769657
162,,,0,0,0,Tomorrow National sex day thing fucking life,1539194771666
163,,,0,0,0,Hamilton Broadway never gets old x,1539194771666
164,,,0,0,0,Nothing ever goes right comical point,1539194771658
165,,,0,0,0,It UTC,1539194771666
166,,,0,0,0,The Me music video hit k views congratulations,1539194771662
167,,,0,0,0,Alaska moves include Alaska Native languages public signs It s part broader efforts revitalize Alaska Nativ,1539194771662
168,,,0,0,0,I think Olli Maatta solid say foot speed issue Penguins system i,1539194771659
169,,,0,0,0,Saying ll factcheck media spun violent rhetoric perfectly OK call bullying people str,1539194771664
170,,,0,0,0,I ll voting favor resolution overturn Trump Admin s expansion junk insurance plans And,1539194771663
171,,,0,0,0,iPhone Xs Max Unboxing amp First Look GIVEAWAY via,1539194771665
172,,,0,0,0,Female Artist Year Pop Rock Album Tour Year Did I miss You Are Everything Congratulations,1539194771660
173,,,0,0,0,Hi Refunds take days When call us Jamie,1539194771663
174,,,0,0,0,Ian Wright Pogba got slaughtered dug saying attack attack attack What Newcastle They,1539194771666
175,,,0,0,0,WHO S STILL LISTENING TO HOLD ME TIGHT TOMORROW AND LET ME KNOW THE HOLY TRINITY EVERYONE,1539194772660
176,,,0,0,0,Dem Sen Mazie Hirono protesters hounding Republicans This happens white supremacists,1539194772665
177,,,0,0,0,The Met Gala theme Camp Notes Fashion inspired Susan Sontag s essay The event will,1539194772663
178,,,0,0,0,odd flex ok,1539194772661
179,,,0,0,0,Let block see I give fuck,1539194772660
180,,,0,0,0,odd flex ok,1539194772664
181,,,0,0,0,dude walk supermarket deodorant aisle think way many deodorant choices,1539194772659
182,,,0,0,0,miss grgm much fed us THE sad anthem,1539194772658
183,,,0,0,0,scared open thought porn yet opened discovered fact worse,1539194772665
184,,,0,0,0,Let s gain BACK BACK Follow turn notifications Let bless account tonight Retweet like,1539194772658
185,,,0,0,0,todays date cause ur,1539194773661
186,,,0,0,0,The woman pic Santosh Yadav first woman world climb Mount Everest twice first woman climb,1539194773662
187,,,0,0,0,Remember Saturday giveaway vbucks youtube participates give rt follow cometa team youtube tw,1539194773665
188,TheBigBillionDays,,0,0,0,Enjoy deals make happy TheBigBillionDays,1539194773663
189,,,0,0,0,person hate bts bighit suing mood,1539194773658
190,JAEHYUN,,0,0,0,Chubby peach JAEHYUN,1539194773658
191,,,0,0,0,But afrosdreadstwistsetc hard draw There plenty black artists tell otherwise,1539194773662
192,,,0,0,0,He probably sitting wearing little antifa mask giggling,1539194773663
193,,,0,0,0,Last night Kanye West called token negro dumb negro I want guys imagine words,1539194773658
194,,,0,0,0,Text wan na know,1539194773662
195,,,0,0,0,That window view,1539194773663
196,HurricaneMichael,,0,0,0,HurricaneMichael DONT LEAVE THEM BEHIND THEY WILL DIE WHEN THE WATER COMES,1539194773666
197,,,0,0,0,bombay bicycle club time top long see tomorrow makes feel typa way lol,1539194773664
198,,,0,0,0,cute sehun reading fan s username mrs zhang yixing zhang yixing s wife,1539194773657
199,,,0,0,0,Today I learned I nt keys house I get whenever I nt keys,1539194773665
200,,,0,0,0,SirPlz look giddalur town also People r still depending water tankers rainy season The situati,1539194773661
201,,,0,0,0,TA Chosen One Sacrifices,1539194773662
202,,,0,0,0,We appreciate reporting please safe guys,1539194774664
203,psat,psatmemes,0,0,0,Mother hears say thank psat psatmemes,1539194774661
204,Riverdale,,0,0,0,ready return Riverdale tonight,1539194774658
205,,,0,0,0,Why monday motivation,1539194774661
206,,,0,0,0,I many men direct message mocking I lost Kavanaugh fight I nt lose anything You l,1539194774663
207,,,0,0,0,The older get stand underwear,1539194774666
208,,,0,0,0,So thing SO super awesome work I love,1539194774661
209,,,0,0,0,Looks like twitter ramping childish tactics My tweets hidden I ve lost k followers last week,1539194774658
210,,,0,0,0,This furbulous review touched depths soul,1539194774666
211,,,0,0,0,face even mad ok text message,1539194774666
212,,,0,0,0,Cardi looking like Shawn Mendes The Album,1539194774657
213,,,0,0,0,Follow everyone retweets likes,1539194775666
214,ManyVids,,0,0,0,The Devil My Daddy IndigoWhite Find ManyVids,1539194775666
215,,,0,0,0,It World Mental Health Day spreading positive messages Lancashire schools We love working Lancashir,1539194775662
216,,,0,0,0,know right dude It s real shame thinkin re alone moment suffering,1539194775658
217,,,0,0,0,OKAY X,1539194775665
218,,,0,0,0,Kenyan Drake blasts Carl Lawson chip scoots past half Bengals defense first What goddamn p,1539194775658
219,,,0,0,0,watched venom,1539194775658
220,,,0,0,0,We condemn death Venezuelan opposition member Fernando Alban hands Maduro regime strongest terms The r,1539194775658
221,,,0,0,0,whole lotta apples doctor conference today pretty suspect ask,1539194775665
222,,,0,0,0,You got answers need inside Just turn eyes inward realize beautiful power connection you,1539194775666
223,,,0,0,0,I unfollowed people coz I nt need fake friends I nt wan na talk friends also unfollowed,1539194775658
224,,,0,0,0,AP Science Digest Report facts leave commentary experts,1539194775663
225,,,0,0,0,Harvard Universty Please tell us accept ivy league school Me There one ocean because,1539194775658
