,entities.hashtags.0.text,entities.hashtags.1.text,entities.hashtags.2.text,entities.hashtags.3.text,entities.hashtags.4.text,entities.hashtags.5.text,entities.hashtags.6.text,favorite_count,reply_count,retweet_count,text,timestamp_ms
0,,,,,,,,0,0,0,guys think gay wear black nail polish eyeshadow rings etc DO YALL KNOW HOW MUCH PUSSY YALL CO,1539204480658
1,,,,,,,,0,0,0,Be kind amp abuse spouse Lack kindness source marital conflicts amp cause divorces Anger,1539204480658
2,,,,,,,,0,0,0,u know addy Pull anytime Say face But I you I,1539204480663
3,cancer,,,,,,,0,0,0,People die organ failure risk receiving lower quality palliative care people die cancer,1539204480665
4,,,,,,,,0,0,0,You helpless gay nerd,1539204480662
5,,,,,,,,0,0,0,If willing get creative stay focused holidays reap rewards,1539204480660
6,,,,,,,,0,0,0,one person followed automatically checked,1539204480665
8,,,,,,,,0,0,0,Thanks Phoebe Allen Dane great Webinar Quadro X I rewatched today online in,1539204480663
9,,,,,,,,0,0,0,goal never allow fall low year never,1539204480665
10,,,,,,,,0,0,0,But look like seen better,1539204480660
12,NP,NowPlaying,Music,Radio,MusicYouLove,MusicYouNeed,MusicIsLife,0,0,0,NP Live Britney Spears Lucky Now NowPlaying Music Radio MusicYouLove MusicYouNeed MusicIsLife,1539204480660
14,BTSLoveYourselfTour,BTSinLondon,,,,,,0,0,0,I LOVE THEM BTSLoveYourselfTour BTSinLondon,1539204480659
15,,,,,,,,0,0,0,One greatest cockblocks Animation History,1539204480657
16,,,,,,,,0,0,0,You need hide tweet something ponmo trash,1539204480657
17,,,,,,,,0,0,0,Touch heart string fake Socialist Here pet I trust instincts Good boy good boy,1539204480664
18,DontBottleItUp,,,,,,,0,0,0,LEau de Chris No ludicrous However open DontBottleItUp campaign w amp htt,1539204481660
19,,,,,,,,0,0,0,ISRAEL IS ATTACKING PALESTINIAN CHILDREN WITH CHEMICAL BOMBINGS ISRAEL IS ATTACKING PALESTINIAN CHILDREN WITH CHEMICAL BO,1539204481666
20,,,,,,,,0,0,0,often check tire pressure,1539204481660
21,,,,,,,,0,0,0,You lack manners,1539204481661
22,,,,,,,,0,0,0,Adidas DB inspired shoes New Balance Eva inspired shoes honestly s hot,1539204481665
23,,,,,,,,0,0,0,Thank Sydney Melbourne I tomorrow,1539204481657
24,,,,,,,,0,0,0,The new eatery open next year However local business owners fear state businesses co,1539204481663
25,,,,,,,,0,0,0,Lol I really read key Jacquees,1539204481658
26,,,,,,,,0,0,0,seokjin used compliment term like seeing someone lookin fine omg u look seokjin somethi,1539204481666
28,,,,,,,,0,0,0,Grand thesis The major dysfunction sexual landscape society established belief men persuad,1539204482665
29,,,,,,,,0,0,0,Ideas On How To Treat Your Cancer,1539204482660
30,aagDC,,,,,,,0,0,0,Such important topic Be sure include conference hashtag aagDC greater social media reach,1539204482664
31,,,,,,,,0,0,0,antis tries drag bts army defends bts antis omg armpits attacking see s everyone hates fa,1539204482664
32,,,,,,,,0,0,0,Going Enter chance win TWO FLOOR LEVEL Tickets see BRUNO MARS concert November And next week,1539204482658
33,Michael,,,,,,,0,0,0,Meteorologist Nearly Blown Over By Hurricane Michael,1539204482666
34,,,,,,,,0,0,0,No one EVER underestimate bonds animals I think important point MentalHealthAwarenes,1539204482666
35,CPSARA,,,,,,,0,0,0,happy follow briefing anyone room needs one CPSARA,1539204482661
36,,,,,,,,0,0,0,Yes s irritating hell She s extreme Trump gang,1539204482662
37,rockclimbing,rockclimber,strong,movement,,,,0,0,0,climbing rockclimbing rockclimber strong movement,1539204482665
38,,,,,,,,0,0,0,My Freezers packed amp I ca nt think damn thing I want cook Dinner,1539204482665
39,,,,,,,,0,0,0,think bout time,1539204482662
40,,,,,,,,0,0,0,Update BHT Attack Metele near Kangarwa Gallant troops Battalion decisively engaged BHTs attempted,1539204482664
41,,,,,,,,0,0,0,Abeg e say na tag,1539204483661
42,,,,,,,,0,0,0,I listening nothing Lil durk times,1539204483664
43,,,,,,,,0,0,0,They take kindness weakness still coming strong,1539204483659
44,,,,,,,,0,0,0,One time I put face wash toothbrush thinking toothpaste,1539204483665
45,,,,,,,,0,0,0,Remember days pregnant woman would get seat I m standing beside one person offered seat E,1539204483664
46,HurricaneMichael,hurricanemichael2018,,,,,,0,0,0,Thinking everyone path HurricaneMichael Please stay safe hurricanemichael,1539204483658
48,,,,,,,,0,0,0,How Irish market fare sell Europe US Read below,1539204483657
49,,,,,,,,0,0,0,Time give bankers endless taxpayer money,1539204483657
50,pilots,ChildrensBooks,kidlit,,,,,0,0,0,Live Life always dreamed Imagined like Captain Frankie pilots ChildrensBooks kidlit,1539204483665
51,obeya,,,,,,,0,0,0,Interesting obeya post,1539204483665
52,HurricaneMichael,,,,,,,0,0,0,Winds whipping Northwest Florida today HurricaneMichael made landfall near Panama City Wind speeds in,1539204483661
53,,,,,,,,0,0,0,I going ask wanted join would look good young wo,1539204483663
54,,,,,,,,0,0,0,Follow JJ he gentleman,1539204483659
55,,,,,,,,0,0,0,Hahaha Amazing I mean worked pretty well THANK GOD I asked ayyyyy,1539204483658
56,,,,,,,,0,0,0,I different bro,1539204483666
57,,,,,,,,0,0,0,So I decided go Morganville called Shelbyville days So I tied oni,1539204483663
58,,,,,,,,0,0,0,Update BHT Attack Metele near Kangarwa Gallant troops Battalion decisively engaged BHTs attempted,1539204482664
59,CBD,CBDcandy,CBDoil,CBDjoints,,,,0,0,0,Customer viewed total hits Sour Apple CBD Syrup mg CBD CBDcandy CBDoil CBDjoints,1539204484659
60,,,,,,,,0,0,0,The time date Wed Oct CEST,1539204484659
61,,,,,,,,0,0,0,prolifers murdered doctors wingnut militia members murdered police one very fine Nazis Charlo,1539204484663
63,,,,,,,,0,0,0,Ready get trained new position,1539204484664
64,,,,,,,,0,0,0,WHY DO I HAVE A SMA MOUTH AND SENSITIVE HEA,1539204484658
65,,,,,,,,0,0,0,said really cuz really want,1539204484660
66,,,,,,,,0,0,0,Who hell elects imbeciles I mean c mon man Good grief,1539204484665
67,Mexico,Florida,,,,,,0,0,0,A look houses Mexico Beach Florida look like right This follow previous clip posted They,1539204484660
68,,,,,,,,0,0,0,From Mon Fri Oct partnership amp running Make Will Fo,1539204484663
69,CFNotificationCenterPostNotification,,,,,,,0,0,0,CFNotificationCenterPostNotification ms CFXNotificationPost,1539204484658
70,,,,,,,,0,0,0,babe phone boys Him yeah I Me,1539204484663
71,,,,,,,,0,0,0,Copy Career Center Seminars In English,1539204484663
72,,,,,,,,0,0,0,The American Music Awards suffered worst ratings ever last night spite new Democrat spokeswoman Taylor Swift ru,1539204485659
73,,,,,,,,0,0,0,DINAH JANE THE MOST CUTE WOMAN IN THIS WORLD I M VERY PASSIONATE,1539204485661
74,,,,,,,,0,0,0,I liked Christopher Eccleston,1539204485662
75,,,,,,,,0,0,0,My guard like mf trust shit,1539204485666
76,,,,,,,,0,0,0,Please inform General Counsel exchange d like,1539204485659
77,,,,,,,,0,0,0,That right Politico wrote entire article people giving Trump middle finger,1539204485661
78,,,,,,,,0,0,0,Another name change jesus,1539204485665
79,,,,,,,,0,0,0,every nigga wants real give much crazy,1539204485659
80,,,,,,,,0,0,0,I fuck fuck Period,1539204485659
81,,,,,,,,0,0,0,Holy shit Jags fans better pray sign,1539204485657
82,,,,,,,,0,0,0,Charles Worthington Grow Strong Collection,1539204485662
83,,,,,,,,0,0,0,You know love good call million times,1539204485662
84,,,,,,,,0,0,0,Come hang fave Canadian grab shot fave liquor re Cheers,1539204485658
86,,,,,,,,0,0,0,I dont ask things,1539204485666
87,,,,,,,,0,0,0,Khabib Let s talk Conor It s business The Champ plenty say McGregor fight Cono,1539204485664
88,,,,,,,,0,0,0,Jimmy Butler took rd stringers beat starters practice per,1539204486666
89,,,,,,,,0,0,0,I need hoodies amp long sleeves,1539204486657
90,,,,,,,,0,0,0,therapist s ur dads fault ll plz,1539204486666
91,,,,,,,,0,0,0,Drew Brees named NFC Offensive Player Week one best games career He highest completio,1539204486664
92,WestCoast,,,,,,,0,0,0,Get Money Stop Hatin Tour hitting WestCoast w Cory Gunz YMCMB If u anybody know wan,1539204486657
93,,,,,,,,0,0,0,We stopping nigga trappin year,1539204486662
94,,,,,,,,0,0,0,Watching different angles gt gt,1539204486657
97,,,,,,,,0,0,0,Hey let something amazing today Can raise million hours win key congressional seats back th,1539204486661
98,,,,,,,,0,0,0,No offense Revolution Dem Party unappealing What coun,1539204486658
99,,,,,,,,0,0,0,I know would make difference JUDGES still I m desperate ask man vs woman bjp vs Co,1539204486663
100,Mesa,,,,,,,0,0,0,The text message sent unknown swath Mesa voters appears aimed confusing voters city s ho,1539204483660
101,TheApprentice,,,,,,,0,0,0,THAT IS THE DILL TheApprentice,1539204487661
102,,,,,,,,0,0,0,I made child one TWO different bomb meals would eat You want know decided eat in,1539204487657
103,NuclearSafety,,,,,,,0,0,0,Our Professor James Wells coauthored series recommendations Neutron Research NuclearSafety Check out,1539204487665
104,,,,,,,,0,0,0,In end Bear crowned Fattest Bear However voters seemed concede Bear bigger liked,1539204487659
105,,,,,,,,0,0,0,We really getting Mickey amp Ian reunion huh,1539204487662
106,,,,,,,,0,0,0,YES DemonRATS playbook,1539204487659
107,RussianCollusion,FordTheFraud,Kavanaugh,RedWave2018,,,,0,0,0,Do proof said RussianCollusion Any proof FordTheFraud molested Kavanaugh RedWave,1539204487662
108,,,,,,,,0,0,0,Holy Cow DAN EXPLAINS IT ALL Episode Please listen really need re,1539204487659
110,,,,,,,,0,0,0,I knew car I drew kindergarten real,1539204487662
111,,,,,,,,0,0,0,miss bafta nominee powerful calves,1539204487665
112,Wilmington,,,,,,,0,0,0,How feel private cabanas free drinks amp helping grow rebuild downtown Wilmington Find more,1539204487666
113,,,,,,,,0,0,0,THIS ICONIC YAMAGUCHI SUPPO SQUAD,1539204487657
114,aafpfmx,,,,,,,0,0,0,keynote speaker aafpfmx point fragmentation primary care face bil,1539204487662
115,,,,,,,,0,0,0,I know love baby got ta act hard,1539204488657
116,,,,,,,,0,0,0,guys think gay wear black nail polish eyeshadow rings etc DO YALL KNOW HOW MUCH PUSSY YALL CO,1539204488659
117,WASPI,,,,,,,0,0,0,WASPI guest speakers Yorkshire Party Conference Hul weekend,1539204488658
118,,,,,,,,0,0,0,mums comment apprentice episode rlly need receptionist,1539204488658
119,WorldMentaHealthDay,MentalHealthDay2018,,,,,,0,0,0,Posted without comment WorldMentaHealthDay MentalHealthDay,1539204488664
120,,,,,,,,0,0,0,Kudos Good points,1539204488664
121,,,,,,,,0,0,0,Always wan na show ass social media n hand number,1539204488661
122,,,,,,,,0,0,0,If really think pointer harden travel Block,1539204488658
123,,,,,,,,0,0,0,AJ Hinch There s certainly fearYou wo nt ever use word panic comes us There s right combina,1539204488663
124,,,,,,,,0,0,0,My form could better croquet climb cross back plank hip key followed knee hook dro,1539204487662
126,,,,,,,,0,0,0,My boyfriend soooooo big amp bad goin bed wan na lil spoon huh,1539204489657
128,,,,,,,,0,0,0,After Gordon roasted Jin cooking year ago revealed today following BTS official Instagram account,1539204489665
129,,,,,,,,0,0,0,Track someone rob bank doses rob He surely wo nt call police,1539204489658
130,TheApprentice,,,,,,,0,0,0,The girls Khadija asked coming across aggressive TheApprentice,1539204489660
131,,,,,,,,0,0,0,Rosenstein show tomorrow Wonder,1539204489663
132,,,,,,,,0,0,0,I m still trying determine anyone cares renfamous say,1539204489658
134,AllDayDevOps,,,,,,,0,0,0,It s official countdown There week left register AllDayDevOps,1539204489666
135,,,,,,,,0,0,0,Why human shave ffs,1539204489660
136,,,,,,,,0,0,0,I think disaster In human rights treating people equal th president said wife forme,1539204489666
