,entities.hashtags.0.text,entities.hashtags.1.text,entities.hashtags.2.text,entities.hashtags.3.text,entities.hashtags.4.text,entities.hashtags.5.text,entities.hashtags.6.text,entities.hashtags.7.text,entities.hashtags.8.text,favorite_count,reply_count,retweet_count,text,timestamp_ms
0,,,,,,,,,,0,0,0,Law attraction people It real,1539202980660
1,,,,,,,,,,0,0,0,fancafe th ARMY ROOM LOVE YOURSELF Answer jacket filming SNOW SUGA,1539202980660
2,lookwhatsbruin,,,,,,,,,0,0,0,Book Talk Line Share Get em get em talkin lookwhatsbruin,1539202980659
3,viral,,,,,,,,,0,0,0,Hey Angels guys tell Mur Roccia Charlie noise snitch Lmao viral,1539202980659
4,TruthPolls,,,,,,,,,0,0,0,Who voting Midterm elections Vote Retweet TruthPolls,1539202980666
5,,,,,,,,,,0,0,0,Tonight school club children used basketball skills competition The final result draw,1539202980665
6,,,,,,,,,,0,0,0,It like term endearment,1539202980665
7,,,,,,,,,,0,0,0,Fuck But look stunning Your sexy ass lover one lucky bastard Jealous anything lol D,1539202980658
8,,,,,,,,,,0,0,0,oh relat e,1539202980664
9,,,,,,,,,,0,0,0,Nobody work harder someone hates asking people help,1539202980666
10,,,,,,,,,,0,0,0,Perfect timing Trump wants limit protests ahead likely firing Rod Rosenstein Just watch,1539202980659
11,,,,,,,,,,0,0,0,The ages mazes Scarefest,1539202980663
12,,,,,,,,,,0,0,0,oh totodile s stupid ass definitely NOT homework,1539202980664
13,,,,,,,,,,0,0,0,Kemp partisan Secretary State Georgia basically trying steal election governor on behalf candi,1539202980664
14,,,,,,,,,,0,0,0,Good night sweet dreams beautiful friends,1539202980666
16,,,,,,,,,,0,0,0,need protect costs,1539202981657
18,,,,,,,,,,0,0,0,As follow The stress living sustained psychological abuse President uses gas,1539202981662
19,KylerMurray,,,,,,,,,0,0,0,I cast Heisman ballot KylerMurray Click player think deserves Heisman House vote,1539202981658
20,,,,,,,,,,0,0,0,No Depending ex wanting children may part broke first place,1539202981663
21,,,,,,,,,,0,0,0,A fresh update ground staff Ravi TV,1539202981660
22,,,,,,,,,,0,0,0,shirt giving fresh prince belair vibes,1539202981665
23,,,,,,,,,,0,0,0,Is new name going pauljohn,1539202981659
24,onemoredawn,onemoreday,,,,,,,,0,0,0,One day mooore til I get see agaaaain onemoredawn onemoreday,1539202981659
25,cumtribute,horny,cumslut,cocktribute,daddy,slut,whore,bbcwhore,cumslave,0,0,0,Rt would facefuck dm tributes cumtribute horny cumslut cocktribute daddy slut whore bbcwhore cumslave,1539202981658
26,,,,,,,,,,0,0,0,Women Of Wrestling To Debut On AXS In January,1539202981661
27,,,,,,,,,,0,0,0,Hello Juan We sorry hear frustration wait services compl,1539202981658
28,,,,,,,,,,0,0,0,Duh bitch aint fuckin air water,1539202981666
29,water,,,,,,,,,0,0,0,Days without mains water water company villages We desperate water,1539202981666
30,,,,,,,,,,0,0,0,Duh bitch aint fuckin air water,1539202982665
31,ALLCAPS,CapsKnights,,,,,,,,0,0,0,Wednesday Night HOCKEY Is oclock yet ALLCAPS CapsKnights,1539202982664
32,,,,,,,,,,0,0,0,phone ipad im stuck school charger going streaks,1539202982662
