,entities.hashtags.0.text,entities.hashtags.1.text,entities.hashtags.2.text,entities.hashtags.3.text,entities.hashtags.4.text,entities.hashtags.5.text,favorite_count,reply_count,retweet_count,text,timestamp_ms
1,,,,,,,0,0,0,Not even secs ABGT set I already crying Best fucking set I witnessed,1539202500657
2,,,,,,,0,0,0,never get bored watching say yes dress,1539202500659
3,,,,,,,0,0,0,Shedding Skin Turla Fresh Faces,1539202500660
4,,,,,,,0,0,0,I may try time lol,1539202500663
5,,,,,,,0,0,0,President Muhammadu Buhari strategists fresh challenges North following emergence Atiku A,1539202500666
6,Twolves,,,,,,0,0,0,Told Butler breaking silence right sitdown ESPN Interview air tonight Twolves,1539202500664
7,,,,,,,0,0,0,mom married dad I taking advice lmfao,1539202500665
8,DIYSciZone,,,,,,0,0,0,Thank generous donation DIYSciZone,1539202500665
9,,,,,,,0,0,0,You deserve better man hope find another team,1539202500666
11,,,,,,,0,0,0,I owe wai I kill body,1539202500663
12,,,,,,,0,0,0,Best gender reveal I ve seen Lmaooo,1539202500659
13,,,,,,,0,0,0,Gym buddy goals gym partner The bar raised,1539202500660
14,,,,,,,0,0,0,When drowning homework decide go w friends instead,1539202500658
15,,,,,,,0,0,0,I added video playlist Elle Varner Not Tonight Audio,1539202500662
16,,,,,,,0,0,0,Driving Topic What expectations Matt DiBenedetto Levine Family Racing,1539202500657
17,,,,,,,0,0,0,South Korea said Wednesday considering lifting sweeping embargo bilateral trade exchanges w,1539202500665
18,,,,,,,0,0,0,If tryna like I want yo ass,1539202500663
19,,,,,,,0,0,0,I ve never retweeted stories like But like us I m sick platforms seemingly taken b,1539202500660
20,,,,,,,0,0,0,imperative formal verified inf,1539202500666
23,,,,,,,0,0,0,The available preferably,1539202501661
24,,,,,,,0,0,0,mugged youngin oyster card divvy,1539202501663
25,,,,,,,0,0,0,wait black skybox amp get unlimited free food weekend,1539202501657
26,,,,,,,0,0,0,If someone care health problems hate really hate,1539202501663
27,SpiderManPS4,InsomniacGames,Marvel,Sony,,,0,0,0,Photorealistic screenshots Central Park SpiderMan PS Tap To Enlarge SpiderManPS InsomniacGames Marvel Sony,1539202501664
28,,,,,,,0,0,0,Andrew Wiggins trying guard Jimmy Butler practice,1539202501659
30,PSAT,,,,,,0,0,0,Dolphins hear someone pod call PSAT,1539202501657
31,,,,,,,0,0,0,Me pretending I go shows oh wow,1539202501664
32,,,,,,,0,0,0,odd flex ok,1539202501662
33,,,,,,,0,0,0,Romanian Leu InfiniteCoin RON IFC read Kenyan Shilling Stronghands,1539202501663
34,,,,,,,0,0,0,rly important mashup,1539202501664
35,,,,,,,0,0,0,Bring back Gorilla Channel,1539202501665
36,,,,,,,0,0,0,I forgive people mean I accept behavior trust I forgive I can,1539202501662
37,HumanRights,Salisbury,Pentlands,PentlandHills,Edinburgh,grousemoor,0,0,0,HumanRights Health Salisbury folk warned In Pentlands PentlandHills Edinburgh demands grousemoor inte,1539202501660
38,,,,,,,0,0,0,Mahine Translation Market Dynamics Opportunities Risks Driving Factors,1539202501659
39,,,,,,,0,0,0,MY BOY GOT KILLS,1539202501660
40,,,,,,,0,0,0,You re always phone Well re always nerves,1539202501657
41,,,,,,,0,0,0,Democrats wo nt satisfied people getting killed Their rhetoric especially past weeks been,1539202501659
42,,,,,,,0,0,0,Is nondeductible traditional IRA contribution ever worth making Ask Fool,1539202501657
43,,,,,,,0,0,0,We pay tribute Kgosi Kgamanyane Pilane Batswana leader Bakgatlabakgafela stood Paul Kru,1539202501662
44,,,,,,,0,0,0,one time guy got mad night woods scene features campfire hyper light drifter also has,1539202501658
45,,,,,,,0,0,0,Oh good At least re still allowed vote,1539202501663
46,,,,,,,0,0,0,classic trench gets alternative update allover darkwashed denim hh club trench,1539202501666
47,,,,,,,0,0,0,The hot pornstar,1539202502659
48,blonde,bush,,,,,0,0,0,She calls London strawberry blonde beauty Californian bush,1539202502661
49,,,,,,,0,0,0,When Democrat incites violence rally people physically assaulting others talk Until Rep,1539202502660
50,,,,,,,0,0,0,things learned Mitch Trubisky Wednesday Halas Hall,1539202502660
51,Chiefs,,,,,,0,0,0,The Chiefs also nt beaten Steelers Pittsburgh since nobody scored touchdown first ha,1539202502658
52,,,,,,,0,0,0,Is rule name Ryan instantly get called last name instead,1539202502661
53,,,,,,,0,0,0,Happy birthday see soon,1539202502666
54,HappyBirthday,CheeryChums,,,,,0,0,0,HappyBirthday Pum CheeryChums,1539202502665
55,,,,,,,0,0,0,Lol When calling apps please dont call Facebook,1539202502662
56,,,,,,,0,0,0,Programming next hours full schedule,1539202502658
57,,,,,,,0,0,0,caramel skin pretty smile,1539202502665
58,,,,,,,0,0,0,The latest Little Dragon FRESH would nt surprised Kaytranada coproduced,1539202502658
60,NorthCarolina,POTUS,BackfireTrump,,,,0,0,0,NorthCarolina suffering today fatal shooting POTUS stop bloodshed BackfireTrump,1539202502661
61,,,,,,,0,0,0,Trump gives lost Kevin McCallister directions Home Alone despite separating kids parents locking,1539202502660
62,,,,,,,0,0,0,Accidentally Deleted Files On Mac Recovery All Files With Wondershare Data Recovery Mac Uf,1539202503657
63,,,,,,,0,0,0,A arab poet said If rizq intelligence animals would die,1539202503664
64,socialmedia,bhivenectar,bhivelabs,bhive,,,0,0,0,Social Media Survey What makes kids teens anxious socialmedia bhivenectar bhivelabs bhive,1539202503662
65,,,,,,,0,0,0,IDEA memories instead Snapchat Spotify On day years ago listened I fall apart Post Malon,1539202503664
66,,,,,,,0,0,0,It s stupid Prank arrested indeed kind Prank,1539202503664
67,,,,,,,0,0,0,libs self centered,1539202503663
68,,,,,,,0,0,0,Welcome Glasgow Airport s live flight service You re receiving updates EZY travelling STNGLA,1539202503657
69,,,,,,,0,0,0,BY THE WITNESS OF TWO OR MORE WITNESSES matter shall decided,1539202503661
70,,,,,,,0,0,0,boss lady pink,1539202503657
71,,,,,,,0,0,0,PLEASE LOOK AT JUNGKOOK BEING CUTE WHEN HE STAED FLOATING AAAAHHH,1539202503658
72,,,,,,,0,0,0,Overheard Starbucks Barista older gentleman Any room cream Older gentleman huh Barista ANYROOM,1539202503661
73,duncangarner,,,,,,0,0,0,Smacking kids acceptable s barbaric duncangarner stating good parents smack children equall,1539202503658
74,,,,,,,0,0,0,KILLRD BEFORE NO CAP CLIMAX,1539202503657
75,,,,,,,0,0,0,Please help Zac find furever home enjoy retirement,1539202503662
76,,,,,,,0,0,0,Waiting footage Wolves practice drop,1539202503666
77,,,,,,,0,0,0,The language victimization appropriated weaponized power,1539202504665
78,,,,,,,0,0,0,These hateful people CNN called Kanye West Dumb Negro Token Negro He said Supporting Trump happe,1539202504663
79,,,,,,,0,0,0,antis tries drag bts army defends bts antis omg armpits attacking see s everyone hates fa,1539202504666
80,,,,,,,0,0,0,GET THE FUCK OFF YOUR PHONE IF YOU ARE DRIVING I DONT WANT TO SEE OR HEAR WHATEVER THE FUCK YOU ARE POSTING It sa,1539202504664
81,Cashmere,,,,,,0,0,0,Men Winter Cashmere Wool Trench Overcoat OvaTrend Cashmere,1539202504657
82,,,,,,,0,0,0,Well car thief hold breath forever And Chief Then god help us,1539202504666
83,,,,,,,0,0,0,I finally found partner wedding day nothing like Yinin Biki,1539202504659
84,,,,,,,0,0,0,I reborn broken,1539202504659
85,,,,,,,0,0,0,Why hell sitting breaking America And theres nothing wrong socialism compa,1539202504666
86,,,,,,,0,0,0,All aboard showboat,1539202504657
87,,,,,,,0,0,0,So friend health scare shortly serious illness although physically fine,1539202504662
88,,,,,,,0,0,0,If bad day sort Beautiful,1539202504665
89,,,,,,,0,0,0,Barkan Myth ArabJewish Coexistence Judean Rose The Barkan Industrial Zone terror attack shooti,1539202504664
90,crisswave,webcam,,,,,0,0,0,I think crisswave horny webcam right burst webcam,1539202504658
91,,,,,,,0,0,0,Best thing ever That made week literally,1539202504663
92,,,,,,,0,0,0,New polls say Hillary Clinton would win DoOver Wonder polls shoein at,1539202505658
93,,,,,,,0,0,0,Guaranteed media say today s stock selloff clear sign coming recession due Trump s tax cuts te,1539202505658
94,,,,,,,0,0,0,Georgia Secretary State Brian Kemp R office blocking people registering vote according records ob,1539202505659
95,SYMPTOMS,,,,,,0,0,0,Voices In My Head SYMPTOMS,1539202505659
96,Palestine,,,,,,0,0,0,Palestine More Zionist colonizers broke Al Aqsa mosque today,1539202505665
97,,,,,,,0,0,0,In walk interview asked LeBron Brandon Ingram This year I believe,1539202505662
99,,,,,,,0,0,0,dont care costs watch Hard Knocks Minnesota Timberwolves id pay,1539202505663
100,,,,,,,0,0,0,When slept hours think coffee help,1539202505663
101,,,,,,,0,0,0,President Trump summed Hillary Clinton perfectly The said Democrats liberal MSM They simply,1539202505659
102,,,,,,,0,0,0,hope everything hyuna hyojong went changes dating culture kpop posting couple pics instagram so,1539202505664
103,,,,,,,0,0,0,If nt found Portugal would partly I m bit biased,1539202505658
104,,,,,,,0,0,0,In Sowetan tomorrow EFF leader Floyd Shivambu brother former president Jacob Zuma PIC boss Dan Matjila implica,1539202505659
105,OIGUSDA,SNAP,,,,,0,0,0,OIGUSDA published compilation report States compliance requirements issuance use SNAP benefits ht,1539202505663
106,,,,,,,0,0,0,Qatar Racing splash m Too Darn Hot make young horse expensive sold Europe,1539202505666
107,,,,,,,0,0,0,I nt seen media worship adore Texas Democrat declare legit potential winner much since Wendy,1539202505659
108,WorldMentalHealthDay,cancer,,,,,0,0,0,Today WorldMentalHealthDay Here ways cancer caregivers better care care f,1539202505660
109,,,,,,,0,0,0,Cats pets positive impact mental health still important reach support,1539202506660
110,,,,,,,0,0,0,m thankful upcoming black roots light blonde long hair seulgi era,1539202506659
111,,,,,,,0,0,0,WHY IS JUNGKOOK SO CUTE,1539202506663
112,trump,MAGA,,,,,0,0,0,Hodgetwins react Ever since I played Trump black people love trump MAGA,1539202506659
113,,,,,,,0,0,0,A great fishery offering incredible smallmouth fishing,1539202506663
114,,,,,,,0,0,0,M clockwise J J Clockwise Road Works,1539202506663
115,,,,,,,0,0,0,Typical happens communist regime innocent get blamed amp arrested Do nt vote Watch polling,1539202506659
116,,,,,,,0,0,0,IDEA memories instead Snapchat Spotify On day years ago listened I fall apart Post Malon,1539202506658
117,,,,,,,0,0,0,Announcing winners Downtown Sun Prairie Scarecrow Contest Youth st Place Thomas amp Mikey Newcom,1539202506660
118,,,,,,,0,0,0,Who thinks put It Almost Halloween,1539202506662
119,Sears,bankruptcy,,,,,0,0,0,Sears reportedly preparing bankruptcy filing soon week by,1539202506666
120,,,,,,,0,0,0,I get agitated I warm,1539202506660
121,,,,,,,0,0,0,Must love Polanyi insight classical liberalism one heck stubborn illusion persists a,1539202504661
122,,,,,,,0,0,0,crickets good luck chirping birds,1539202506666
124,,,,,,,0,0,0,Twitter Reacts To Jimmy Butler Going Off On TWolves During Practice Here Is What He Said via h,1539202506662
125,Pakistan,BeautifulPakistan,nature,natural,naturelovers,,0,0,0,Such beautiful weather Pakistan travelling BeautifulPakistan nature natural naturelovers NaturePhotograp,1539202506658
126,,,,,,,0,0,0,Let ante If bring you us token negroes raise d,1539202506659
127,,,,,,,0,0,0,Georgia voters secretly purged rolls given notice,1539202506665
128,,,,,,,0,0,0,Powerful Magic Ring Of Wornders In UK USA UAE Call On Cape Flats Cape Town Cape Winelands ApneeCommu,1539202506661
129,,,,,,,0,0,0,everyone thinks climate change hoax exactly think benefits decreasing pollution Big Everyone,1539202507664
130,affiliate,,,,,,0,0,0,Gold home accents affiliate,1539202507663
131,,,,,,,0,0,0,Harkless takes remarkable voyage aboard luxury cruise liner carrying wonderful cast characters,1539202507661
134,TS7,AMAs,TaylorSwiftAMAs,,,,0,0,0,TS IS COMING The AMAs making heart explode TaylorSwiftAMAs,1539202507661
135,,,,,,,0,0,0,You re crooks need replaced,1539202507660
137,,,,,,,0,0,0,Listen Phoebe Ryan music It make feel better time,1539202507665
138,KrisWu,,,,,,0,0,0,Kris Wu Weibo update Height something varies KrisWu,1539202507659
139,,,,,,,0,0,0,Me kissing girl gave head,1539202507657
