,entities.hashtags.0.text,entities.hashtags.1.text,entities.hashtags.2.text,entities.hashtags.3.text,entities.hashtags.4.text,entities.hashtags.5.text,entities.hashtags.6.text,entities.hashtags.7.text,entities.hashtags.8.text,entities.hashtags.9.text,favorite_count,reply_count,retweet_count,text,timestamp_ms
0,,,,,,,,,,,0,0,0,Y ever eating something really good get sad halfway food almost gone,1539201720659
1,,,,,,,,,,,0,0,0,This may best title scientific paper It s eyecatching clearly states main finding perfect,1539201720664
2,,,,,,,,,,,0,0,0,s dumbest idea ve today,1539201720659
3,,,,,,,,,,,0,0,0,Don assume tweets you feeling type way re obviously guilty of,1539201720659
4,,,,,,,,,,,0,0,0,Atheists Leftists Infiltrated Russia s Schools th c Mortally Wounding Country Lesson America,1539201720661
5,,,,,,,,,,,0,0,0,decide good idea air lol,1539201720664
6,,,,,,,,,,,0,0,0,Drake streamed artist Spotify s year history,1539201720659
7,,,,,,,,,,,0,0,0,There lots reasons keep legal blog law firm s website Here,1539201720664
8,,,,,,,,,,,0,0,0,Colts guard Matt Slauson played Patriots two broken vertebrae placed injured reser,1539201720661
10,,,,,,,,,,,0,0,0,Angela Rayner accuses Theresa May breaking ministerial code PMQs By,1539201720659
11,,,,,,,,,,,0,0,0,I wish u came st cuthberts,1539201720661
12,,,,,,,,,,,0,0,0,Check blog Blog,1539201720663
13,psat,psatmeme,,,,,,,,,0,0,0,free response math questions psat psatmeme,1539201720665
14,,,,,,,,,,,0,0,0,I bet oxygen CRISP shit,1539201720666
17,plantpower,plantstrong,xvx,Runkeeper,,,,,,,0,0,0,Just completed km run thanks IRON SAVIOR plantpower plantstrong xvx Runkeeper,1539201720659
18,,,,,,,,,,,0,0,0,This Sarkodie diss beautiful thing ve heard week It s even diss mans settled babysit,1539201720663
19,,,,,,,,,,,0,0,0,Yes I would add numbers amp,1539201720657
20,lonely,bored,collegegirl,snapme,rt,followme,kik,horny,we,dm,0,0,0,fl maybe ill drop surprise DM s lonely bored collegegirl snapme rt followme kik horny dm,1539201720665
21,,,,,,,,,,,0,0,0,It s week vegetarian awareness month re loving Check perfectly fall themed Vegan Veggie Ca,1539201720662
22,Publishers,content,,,,,,,,,0,0,0,Publishers get best digital content solutions All required digital publishing tools available,1539201720666
23,,,,,,,,,,,0,0,0,Been trying app I love Really admire trying accomplish,1539201720663
24,,,,,,,,,,,0,0,0,The ups amp downs worth really love somebody I learned everything WILL NOT smooth dandy time,1539201721657
25,,,,,,,,,,,0,0,0,might fuck around take nap,1539201721663
26,,,,,,,,,,,0,0,0,Or rather seeming ease Half shit got ta hella hard matter often,1539201721660
27,,,,,,,,,,,0,0,0,going faire mon service militaire bts,1539201721664
28,,,,,,,,,,,0,0,0,Great spend time ewaste team Ngara market Nairobi collecting recycling amp repurposing ewaste from,1539201721665
29,DANCE_WAR,,,,,,,,,,0,0,0,VOTE FOR CLAP AND GREEN PLEASE DANCEWAR,1539201721663
30,,,,,,,,,,,0,0,0,Like free trillion dollars top free I mean middle,1539201721665
31,,,,,,,,,,,0,0,0,The Supreme Court allows voter ID requirement North Dakota Texas already voter ID requirement ensure in,1539201721658
32,,,,,,,,,,,0,0,0,Dawg let hood nigga Trouble Braves game,1539201721663
33,HurricaneMichael,,,,,,,,,,0,0,0,HOUSES EXPLODE Panama City Beach devastating HurricaneMichael batters Florida Aaron Ri,1539201721664
34,,,,,,,,,,,0,0,0,Programming next hours full schedule,1539201720660
36,ScaryStoriesForAdults,,,,,,,,,,0,0,0,ScaryStoriesForAdults All three kids need pay state tuition,1539201721665
37,,,,,,,,,,,0,0,0,Depression anxiety happen pregnancy birth Learn get help,1539201721664
38,,,,,,,,,,,0,0,0,The DOW drops points If portfolio took hit today please kill,1539201722658
39,,,,,,,,,,,0,0,0,When patiently waiting forever online order arrives order messed Help,1539201722657
40,,,,,,,,,,,0,0,0,Jimmy Butler showing practice today like,1539201722665
41,,,,,,,,,,,0,0,0,promise nobody earth would give edibles away kids free,1539201722665
42,TwitterLitter,,,,,,,,,,0,0,0,Who heck talking TwitterLitter,1539201722660
43,europe,japan,quantitative,easing,crypto,ripplenews,trading,monero,SmartContracts,,0,0,0,europe japan drug quantitative easing crypto ripplenews trading monero SmartContracts,1539201722659
44,,,,,,,,,,,0,0,0,The GSA application deadline January th nt wait last minute Talk CCR Center,1539201722664
45,,,,,,,,,,,0,0,0,Whos still awake Dm IG Raycah ill let u see unshaded pic min start,1539201722658
46,,,,,,,,,,,0,0,0,I need Nails done like NOW I need feet done like NOW I need hair done like NOW I need life together like N,1539201722659
47,,,,,,,,,,,0,0,0,mental health may invisible real nt struggle silence make sure reach ones,1539201722657
48,,,,,,,,,,,0,0,0,da man baby,1539201722662
