,entities.hashtags.0.text,entities.hashtags.1.text,entities.hashtags.2.text,entities.hashtags.3.text,entities.hashtags.4.text,entities.hashtags.5.text,favorite_count,reply_count,retweet_count,text,timestamp_ms
0,,,,,,,0,0,0,Paco Gonzalez reliable Madrid based reporter They re RM going spend Hazard They nt want sig,1539203280662
1,,,,,,,0,0,0,Child Endangerment This law wielded kids develop early kids nt white ki,1539203280659
2,,,,,,,0,0,0,I wan na get ill,1539203280660
3,,,,,,,0,0,0,Twitter weird find type black woman masses find attractive cute automatically hate black women lmao,1539203280658
4,,,,,,,0,0,0,Huge reduction meateating essential avoid climate breakdown,1539203280663
5,,,,,,,0,0,0,If spell please stay inbox,1539203280658
6,,,,,,,0,0,0,Follow everyone Likes Retweets,1539203280666
7,xxx,bitch,sex,cumtribute,cocktribute,cumslave,0,0,0,Every single person retweet get nude DM xxx bitch sex cumtribute cocktribute cumslave t,1539203280659
8,,,,,,,0,0,0,So basically s group Antis not satisfied BTS wanting disband making petition vote Yo,1539203280666
9,,,,,,,0,0,0,Once able check please let us know order We re help DY,1539203280659
10,,,,,,,0,0,0,Dawg dog somebody TL think s okay,1539203280663
11,,,,,,,0,0,0,Kevin McCarthy new bill complete wall gain clear control southern border vital safety Fen,1539203280660
12,,,,,,,0,0,0,girls fat asses dance move useless get face,1539203280658
13,HurricaneMichael,BigPharma,,,,,0,0,0,LIVE talking HurricaneMichael reigning BigPharma,1539203281661
14,,,,,,,0,0,0,I know s I m generally worried I found funny someone would think webclips full root access,1539203281663
15,,,,,,,0,0,0,Y hell app man,1539203281663
16,,,,,,,0,0,0,Pussies keep hating wonder I wake boner every morning,1539203281662
17,,,,,,,0,0,0,I liked video The Need For Speed SE All Showcase Videos HQ,1539203281657
18,,,,,,,0,0,0,I get excited people art work Want send ur songs ur paintings ur writings,1539203281664
19,,,,,,,0,0,0,promise nobody earth would give edibles away kids free,1539203281659
20,,,,,,,0,0,0,Talentchain Quiz Time Quick Recap,1539203281666
21,,,,,,,0,0,0,We wo nt hear word Dow plunges points stocks suffer w,1539203281657
22,,,,,,,0,0,0,The folks incredibly lucky leader like She inspirational boss men,1539203281665
23,HarryShumJr,TheMaleTVStar,PCAs,,,,0,0,0,You invited vote HarryShumJr TheMaleTVStar PCAs,1539203281660
24,,,,,,,0,0,0,Yo God loves,1539203281660
25,WWEMYC,,,,,,0,0,0,Who s heading QUAERFINALS The second round WWEMYC continues tonight vs,1539203281663
26,,,,,,,0,0,0,I bet oxygen CRISP shit,1539203281660
27,,,,,,,0,0,0,This powerful thing I ever seen life lot things list things mother tells,1539203281658
28,TaylorSwift,PCAs,TheFemaleArtist,,,,0,0,0,vote TaylorSwift PCAs TheFemaleArtist Do birthday Swifties,1539203281664
29,,,,,,,0,0,0,The big boys looking excuse take profits tech stocks Michael gave cover sell together,1539203281664
30,TaylorSwift,PCAs,TheFemaleArtist,,,,0,0,0,vote TaylorSwift PCAs TheFemaleArtist Do birthday Swifties,1539203281664
31,,,,,,,0,0,0,NOW HIRING Fed Ex Home Depot UPS Verizon STAPLE,1539203282657
32,,,,,,,0,0,0,Car dealership Salesman Hear engine Purrs like kitten Customer I take Salesman stealthily slips fish,1539203282657
33,,,,,,,0,0,0,fact bighit scrapped romans interview got tweets abt interview taken replaced bts d,1539203282658
34,,,,,,,0,0,0,THREAD The UN reported today years stop climate change see catastrophic environmental di,1539203282665
35,,,,,,,0,0,0,till tuesday I able draw little sketches I hope least,1539203282661
36,,,,,,,0,0,0,This currently funniest video internet,1539203282661
37,,,,,,,0,0,0,started saying take step back irl,1539203282664
38,,,,,,,0,0,0,Earned shot Lmao,1539203282665
39,,,,,,,0,0,0,I bet oxygen CRISP shit,1539203281660
40,,,,,,,0,0,0,Bubye Guys See You Soon,1539203283657
41,,,,,,,0,0,0,When nation rotten even president juice worth squeeze There need pres,1539203283659
42,nanowrimo,,,,,,0,0,0,I plans participating nanowrimo I want take month prepare wri,1539203283660
43,,,,,,,0,0,0,Thanks Just loved quote fussed wrote,1539203283657
45,,,,,,,0,0,0,It s imperative nt underestimate impact daily assaults majority Ameri,1539203283659
46,,,,,,,0,0,0,Eshy IG Highlight Tiffany Young,1539203283663
47,,,,,,,0,0,0,Having use G house,1539203283661
48,,,,,,,0,0,0,That whole app control,1539203283666
49,,,,,,,0,0,0,New M engineering architecture facilities open Dal,1539203283662
50,,,,,,,0,0,0,Tips Happiness How Survive life Death an excerpt help find,1539203283660
51,,,,,,,0,0,0,This happens I m horny,1539203283665
52,,,,,,,0,0,0,YOU GOT EXCELLENT A In celebration Mega Man Yuji Ishihara game Art Director created special illustrati,1539203284665
53,,,,,,,0,0,0,Too far shit start whining,1539203283664
54,,,,,,,0,0,0,I m sick tired sick tired I know I m letdown I know I m liar,1539203284661
55,,,,,,,0,0,0,Why would people join hiatus Literally happened hiatus us long t,1539203284659
56,,,,,,,0,0,0,I lot fun blackout poetry making Braille,1539203284657
57,,,,,,,0,0,0,Surely behaviour Churches court cases must lead questioning,1539203284659
58,,,,,,,0,0,0,AKQ updates Flash Flood Watch valid Oct PM EDT extends time expands area include areas expands area,1539203284663
59,,,,,,,0,0,0,This excellent news,1539203284657
60,report,,,,,,0,0,0,This report far best one yet He s risking life bring us insider news situation in,1539203284664
61,,,,,,,0,0,0,Here s quick video homemade sign in action speak,1539203284666
62,,,,,,,0,0,0,Morning Graeme pie delivery duty van today A gorgeous day trip along coast Fine Cit,1539203285663
63,,,,,,,0,0,0,NEWS concert Citifield shining The Rolling Stone stated BTS The successful,1539203285666
64,,,,,,,0,0,0,LOOK AT JIN DANCING BEHIND SND TEASING JUNGKOOK THEYRE SO CUTENSHDH,1539203285658
65,,,,,,,0,0,0,need friend like,1539203285657
66,,,,,,,0,0,0,So people roughly good bad Got We agree,1539203285657
67,,,,,,,0,0,0,Georgia Secretary State Brian Kemp s R office blocking people registering vote according recor,1539203285659
68,,,,,,,0,0,0,Too far shit start whining,1539203283664
69,Antifa,,,,,,0,0,0,Let clear nazis America It Antifa And Antifa paramilitary wing Democratic Par,1539203285659
70,,,,,,,0,0,0,BTS Official Top streamed songs revealed,1539203285664
