,entities.hashtags.0.text,entities.hashtags.1.text,entities.hashtags.2.text,entities.hashtags.3.text,entities.hashtags.4.text,entities.hashtags.5.text,entities.hashtags.6.text,entities.hashtags.7.text,entities.hashtags.8.text,favorite_count,reply_count,retweet_count,text,timestamp_ms
0,,,,,,,,,,0,0,0,Knock knock Who Recession,1539203880664
1,,,,,,,,,,0,0,0,lot people wrong idea I desire clear shit,1539203880658
3,,,,,,,,,,0,0,0,Agree points except oneRepublicans enemy This mean use vi,1539203880659
4,,,,,,,,,,0,0,0,No one like single bitch life like fucking heartbreaking,1539203880662
5,,,,,,,,,,0,0,0,VAMPIRES SMACKS NECK COME GET YALL JUICE,1539203880658
6,virtualization,,,,,,,,,0,0,0,How choose size right server support virtualization workloads,1539203880657
7,,,,,,,,,,0,0,0,The Weeknd happy glowing His next album gon na trash,1539203880659
8,,,,,,,,,,0,0,0,Social media use US age Age Usage,1539203880666
9,잭슨,영재,갓세븐,JacksonWang,Youngjae,GOT7,Lullaby,PresentYOU,GOT7xAdidas,0,0,0,HQ Adidas Event JacksonWang Youngjae GOT Lullaby PresentYOU GOTxAdidas h,1539203880663
11,,,,,,,,,,0,0,0,Unadulterated GAS LIGHTER You ashamed,1539203880665
12,,,,,,,,,,0,0,0,When drowning homework decide go w friends instead,1539203880664
13,,,,,,,,,,0,0,0,Idk sounds corny literally I dream lol married amp husband loves chil,1539203880658
14,CopyFollowers,,,,,,,,,0,0,0,new tweep followed last day I find relevant people follow CopyFollowers feature,1539203881660
15,,,,,,,,,,0,0,0,Praying boy positive energy,1539203881666
16,ShadowHunters,TheScifiFantasyShow,pcas,,,,,,,0,0,0,I voted ShadowHunters TheScifiFantasyShow Cast vote E People s Choice Awards pcas T,1539203881665
17,,,,,,,,,,0,0,0,LIKE FOLLOW chance NUDE,1539203881657
18,,,,,,,,,,0,0,0,When I hashtag When I become argumentative ci,1539203881661
19,,,,,,,,,,0,0,0,Listen I fully aware every patriarchal society atrocities toward women children i,1539203881660
20,,,,,,,,,,0,0,0,Use y mxb calculate slope line crossed,1539203881663
21,,,,,,,,,,0,0,0,The day come,1539203881660
22,,,,,,,,,,0,0,0,LOOK AT SEOKJIN GOING AROUND JUNGKOOK TO MAKE HIM SMILE I LOVE THEM SO MUCH,1539203881658
23,,,,,,,,,,0,0,0,Correct kids carry concealed dagger child religion PET s great Charter D,1539203881664
24,,,,,,,,,,0,0,0,Jimmy Butler took rd stringers beat starters practice per,1539203881657
25,,,,,,,,,,0,0,0,hood nigga hooper right,1539203881665
26,,,,,,,,,,0,0,0,WIN CA H ON KISS Listen keyword text win chance pm,1539203881661
27,,,,,,,,,,0,0,0,Okay deserve questions Harry Styles Vogue,1539203881663
28,,,,,,,,,,0,0,0,Official B Free What Are The Odds,1539203881660
29,,,,,,,,,,0,0,0,Super pleased Mac Well deserved,1539203881660
30,,,,,,,,,,0,0,0,Brylcreem area expertise,1539203881663
31,,,,,,,,,,0,0,0,The headlines true NEWSIES returns cinemas special encore summer Seize day one last time July amp,1539203882658
32,,,,,,,,,,0,0,0,finally anime ending,1539203882663
33,,,,,,,,,,0,0,0,happens BTS nt attend,1539203882661
34,,,,,,,,,,0,0,0,Di Canio one best Premier League goals ever,1539203882661
35,,,,,,,,,,0,0,0,Tornado Warning Camden Charlton County GA pm EDT,1539203882664
36,,,,,,,,,,0,0,0,enter win autographed baseball Rules,1539203882657
37,,,,,,,,,,0,0,0,take day worth,1539203882662
38,,,,,,,,,,0,0,0,There s number times girl call dear conversation ll know re friendzone,1539203882664
39,,,,,,,,,,0,0,0,When catch bank robber take away money stole When catch man stole election th,1539203882664
40,Maker,MKR,Bytecoin,BCN,Verge,XVG,,,,0,0,0,Maker MKR drops one hour Bytecoin BCN jumps one hour Verge XVG jumps one hour,1539203882659
41,,,,,,,,,,0,0,0,A bunch videos Kelly Clarkson singing Broadway songs,1539203882659
42,,,,,,,,,,0,0,0,STOP SLEEPING ON CUT MY LIP THIS SONG IS SO GOOD,1539203882663
43,,,,,,,,,,0,0,0,Y please put baby oil vagina,1539203882664
44,,,,,,,,,,0,0,0,hesaplada thanks following Savage Global Marketing Check us online,1539203882666
45,,,,,,,,,,0,0,0,Just reminder Dems take Senate Mitch McConnell longer Majority Leader Chuck Grassley longer ch,1539203882666
46,,,,,,,,,,0,0,0,No I It totally decision It career,1539203882662
47,,,,,,,,,,0,0,0,Kadija total arrogant bullshitter Oh dear seen guys team shout negatives oh word,1539203882659
48,,,,,,,,,,0,0,0,WOW Seems Taylor nt homework I like music hate sh endorses Democraps,1539203882662
49,,,,,,,,,,0,0,0,stopped thinking since I saw good,1539203882657
51,PSAT,,,,,,,,,0,0,0,PSAT thank y Sylheti mom,1539203883665
52,,,,,,,,,,0,0,0,Me deciding I going sad today,1539203881660
53,Singularity,Taehyung,,,,,,,,0,0,0,VIDEO LOVE YOURSELF Tour en Londres Singularity Taehyung ha conquistado Londres con esto,1539203883658
54,,,,,,,,,,0,0,0,whatever twig must gas cuz bruhs shoes backwards,1539203883665
55,,,,,,,,,,0,0,0,asked people listen flex playboi carti well,1539203883660
56,,,,,,,,,,0,0,0,Why would Corker Menendez block amendment defund Pedophilia Disturbing We need vote corrupt politicians,1539203883658
57,,,,,,,,,,0,0,0,That funny Towns Wiggins star guys winning guys,1539203883657
58,,,,,,,,,,0,0,0,Cause re last dying breed Write names wet concrete New FandomCharacter Open SL s and,1539203883657
59,,,,,,,,,,0,0,0,The structure broadcast news often requires packaging stories short clips making difficult give a,1539203883660
60,,,,,,,,,,0,0,0,GET CONNECTED TO THIS RICH WOMAN JOIN THE BILLIONAIRE GIRLS CLUB MALAYSIA AND GET HOOKUP AND MEET RICH WOMEN THA,1539203882662
61,,,,,,,,,,0,0,0,Disgusting Vile Video Antifa amp Blacks matter Screaming obscenities drivers protest One man stops,1539203883664
62,,,,,,,,,,0,0,0,A THREEEEEEAAAAAADDDD days Mr Asiamah ladies gentlemen legend,1539203883660
63,,,,,,,,,,0,0,0,And give presidency s rightful owner,1539203883662
65,,,,,,,,,,0,0,0,Okay deserve questions Harry Styles Vogue,1539203881663
66,,,,,,,,,,0,0,0,BTS Official Top streamed songs revealed,1539203884663
67,,,,,,,,,,0,0,0,When hitting gooble slurper head straight nuts,1539203884664
68,,,,,,,,,,0,0,0,grammar trash message gold use context clues thank later,1539203884659
69,,,,,,,,,,0,0,0,Normally I nice waitress brings appetizers amp entrees time,1539203884662
70,,,,,,,,,,0,0,0,Do nt think year,1539203884660
72,,,,,,,,,,0,0,0,When see hand find But see heart find,1539203884662
73,,,,,,,,,,0,0,0,Quick reminder wearing pink month nt provide breast cancer screenings Planned Parenthood,1539203884666
74,,,,,,,,,,0,0,0,What signing John Tavares really shortened Leafs winning window They re going run not,1539203884659
75,,,,,,,,,,0,0,0,choose u want retweet,1539203884663
