,entities.hashtags.0.text,entities.hashtags.1.text,favorite_count,reply_count,retweet_count,text,timestamp_ms
0,TOPTrenchParty,,0,0,0,You re invited global Trench twitter listening party Tonight TOPTrenchParty,1539203580661
1,,,0,0,0,My soccer coach send His daughter missing riverside please see call right away,1539203580660
2,,,0,0,0,As matter fact really need consider implementing naptime midafternoon Things I say boss wh,1539203580664
4,,,0,0,0,exactly many kill years,1539203580657
5,,,0,0,0,bb wan na fall love,1539203580666
7,,,0,0,0,A guy work tried give tip I nice helpful,1539203580661
8,,,0,0,0,Sending people last night nt either,1539203580665
10,,,0,0,0,The case Taheri several baseless allegations prohibition prosecution double remova,1539203580659
11,,,0,0,0,You must near UN building,1539203580665
12,,,0,0,0,Has MCM said today date Oh,1539203580658
13,,,0,0,0,take climate change seriously planet earth literally screaming help start amp dont planet to,1539203581661
14,,,0,0,0,welcome Thank musical friend,1539203581660
15,TheApprentice,,0,0,0,They put full stop right place freaking TITLE THIS IS A JOKE TheApprentice,1539203581660
16,,,0,0,0,Night Sight blows everyone I show result away every time I use It s impressive the,1539203581665
17,,,0,0,0,Those negative stories called THE TRUTH When dumbass shit re gon na ge,1539203581659
18,,,0,0,0,Now Playing Lil Uzi Vert amp Gucci Mane Fresh Produced By Zaytoven,1539203581663
19,,,0,0,0,Peter Thiel Trump Gawker Leaving Silicon Valley audiopodcast ht,1539203581659
20,,,0,0,0,younghollywood insta story,1539203581664
21,,,0,0,0,Praying people Florida Alabama Georgia,1539203581660
22,,,0,0,0,There literally one negative thing said post since,1539203581657
23,RT,,0,0,0,Fortnite Account In Your DM Follow Stay active get rewarded ac,1539203581664
24,jaejoong,exgroupmembers,0,0,0,Jaejoong reminisces TVXQ Photo People Season Tokyo jaejoong exgroupmembers,1539203581664
25,,,0,0,0,I m sorry hear trouble Kevin Have chance check help page related,1539203581664
26,,,0,0,0,First MRE eaten war Afghanistan finally pooped,1539203581664
27,,,0,0,0,psychiatric evaluations countless prescriptions copay copay copay toxic relationship failed suicide attempt cog,1539203581658
29,,,0,0,0,When gas light turns u fill AGAIN,1539203581657
30,,,0,0,0,This horrific unacceptable,1539203581659
31,,,0,0,0,This column may break record number falsehoods President ever published newspaper opEd Just t,1539203581664
32,,,0,0,0,rabits exists YOU ARE SO BEAUTIFUL I WOULF GLADLY GO TO HELL FOR YOU I WOULD GLADLY STEP INTO THE LIONS MOUTH LET MYSELF BE EATEN FO,1539203582663
33,BTSinLondon,,0,0,0,HES A FUCKN LEGEND SORRY BUT HE CAN KICK ME IN THE FACE AND I WOUDL STILL LOVE HIM LISTEN TO HIS FUCKFIEN voiCE BTSinLondon,1539203582661
34,,,0,0,0,HEY TEACHERS LEAVE THEM KIDS ALONE,1539203582658
