,entities.hashtags.0.text,entities.hashtags.1.text,entities.hashtags.2.text,entities.hashtags.3.text,entities.hashtags.4.text,entities.hashtags.5.text,entities.hashtags.6.text,favorite_count,reply_count,retweet_count,text,timestamp_ms
0,,,,,,,,0,0,0,fergie got money take yo broke ass home,1539201960664
1,,,,,,,,0,0,0,trans fine thinks dysphoria coming hassle nevermind actually dont like thi,1539201960662
2,OperationRoomRolePlayBelgium,SurgeonJill,Suturing,GenitalModification,CBT,MedicalMistress,MedFet,0,0,0,OperationRoomRolePlayBelgium SurgeonJill Suturing GenitalModification CBT MedicalMistress MedFet Photos an,1539201960658
3,,,,,,,,0,0,0,I wan na see ya shit,1539201960658
4,,,,,,,,0,0,0,rap god Excited see unbelievers share testimonies Happy see rappers bowing greatness S,1539201960659
5,,,,,,,,0,0,0,Those third grade teachers Such tough standards,1539201960666
6,,,,,,,,0,0,0,I Android version running Google Pixel,1539201960658
7,,,,,,,,0,0,0,This type meal got ta shower eat done go straight sleep,1539201960664
8,fastpitch,minkeinc,,,,,,0,0,0,Looking forward empowering presentations tonight fastpitch minkeinc performance,1539201960663
10,,,,,,,,0,0,0,MY NEXT TWEET IF U WANT ME TO TWEET YA make sure u jam alone tweeting LETS DO THIS,1539201961663
11,,,,,,,,0,0,0,yall dumbasses voted harambe aint forget,1539201961666
12,,,,,,,,0,0,0,No sure date Drinking Water Rally Christopher Reeve,1539201961657
13,,,,,,,,0,0,0,Glad lead sponsor Washington Debate Coalition great partners Looking forward next debate W,1539201961659
14,,,,,,,,0,0,0,Shawn actually SO underrated like yall nt even understand check replies tweet I like he,1539201961665
16,WorldMentalHealthDay,ENDviolence,BTS_twt,,,,,0,0,0,Powerful words We must support young people WorldMentalHealthDay ENDviolence BTStwt,1539201961662
17,,,,,,,,0,0,0,st date Pisces So bar I almost died feeling much Cancer Same I called,1539201961658
18,,,,,,,,0,0,0,There s day go work feeling safe Video shows violent attack Winnipeg hospital staff,1539201961658
19,,,,,,,,0,0,0,Climate change happens happen wirhout man Influenza like It history stupid,1539201961665
20,,,,,,,,0,0,0,Husband Spots Cheating Wife Cuddling Another Man Through Google Map,1539201961666
21,,,,,,,,0,0,0,HYUNA REALLY SAID FUCK CUBE,1539201961665
