,entities.hashtags.0.text,entities.hashtags.1.text,entities.hashtags.2.text,entities.hashtags.3.text,entities.hashtags.4.text,entities.hashtags.5.text,entities.hashtags.6.text,entities.hashtags.7.text,favorite_count,reply_count,retweet_count,text,timestamp_ms
0,,,,,,,,,0,0,0,Tired I ready catch drinks weekend,1539200400659
1,,,,,,,,,0,0,0,Stacy Phelps back trial Wednesday took stand defense,1539200400664
2,,,,,,,,,0,0,0,amp follow chance win Funko Shop Exclusive Pop Animation TrickorSweet Bear,1539200400661
4,,,,,,,,,0,0,0,Friends people immune insanity,1539200400657
5,,,,,,,,,0,0,0,Floyd Shivambu s brother received Rm VBS report,1539200400658
6,,,,,,,,,0,0,0,goddamn get sad dumb shit like s wrong,1539200400661
7,WatchHungerStop,,,,,,,,0,0,0,Proud support initiative WatchHungerStop,1539200400663
9,,,,,,,,,0,0,0,Justice stevens aba law professors yale appointment How,1539200400658
10,,,,,,,,,0,0,0,Apply Michele Alexander Early Career Award Scholarship amp Service Deadline Friday October,1539200400660
11,AMAs,,,,,,,,0,0,0,first ever AMAs winner Favorite Social Artist presented Congratulations,1539200400661
12,,,,,,,,,0,0,0,The FM million one people also trying get attenti,1539200400665
13,,,,,,,,,0,0,0,That norm Sweden They screwed unless take country back,1539200400664
14,,,,,,,,,0,0,0,This type meal got ta shower eat done go straight sleep,1539200401664
15,,,,,,,,,0,0,0,Spirit Holy High,1539200401657
16,,,,,,,,,0,0,0,Have gone Hispanic Restaurants lately,1539200401662
17,,,,,,,,,0,0,0,Last dying breed I dont know spirit familiar It bears name wore Rage Do loudly,1539200401659
18,,,,,,,,,0,0,0,This column may break record number falsehoods President ever published newspaper opEd Just t,1539200401663
19,,,,,,,,,0,0,0,They working Blizzard surprising go,1539200401664
20,,,,,,,,,0,0,0,I want girlfriend,1539200401658
21,,,,,,,,,0,0,0,The accuracy painful beyond recognition,1539200401664
22,,,,,,,,,0,0,0,Confidence able compliment people without feeling insecure I felt Adv,1539200401662
23,,,,,,,,,0,0,0,Does every arab girl find guy marry second year college shit seems like suddenly,1539200401662
24,,,,,,,,,0,0,0,Think gon na tell ridge confront brooke,1539200401663
25,,,,,,,,,0,0,0,Believe see Fuck heard,1539200402659
26,,,,,,,,,0,0,0,Trump last night called Dems party crime dangerous govern crazy That way future dictators talk a,1539200402660
27,,,,,,,,,0,0,0,Most relatable thing I seen day,1539200402662
28,ALDUB169thWeeksary,,,,,,,,0,0,0,When I see rainbow I know someone somewhere loves Anthony T Hincks ALDUBthWeeksary,1539200402663
29,,,,,,,,,0,0,0,I swear Durant population gone million It odd time day people coming,1539200402658
31,,,,,,,,,0,0,0,Tory speculation Penny Mordaunt andor Esther McVey might quit soon,1539200402659
32,,,,,,,,,0,0,0,The Trump administration viciously spitefully opposed Americans getting health insurance,1539200402660
33,,,,,,,,,0,0,0,Anything people Flint,1539200402659
34,,,,,,,,,0,0,0,You know well Another reason I m never letting go,1539200402661
35,MONSTA_X,몬스타엑스,ARE_YOU_THERE,INSIDE_PHOTO,형원,아이엠,HYUNGWON,IM,0,0,0,MONSTAX THE ND ALBUM TAKE lt AREYOUTHERE gt INSIDEPHOTO HYUNGWON IM MO,1539200402662
36,,,,,,,,,0,0,0,There gang Tough Trump Talkers love feign disappointment Trump vote EVERY single time,1539200402661
37,,,,,,,,,0,0,0,Not East I figured,1539200402660
38,,,,,,,,,0,0,0,Idk BUT IM SHAKING THEY ARE BRAVER THAN THE SOLDIERS AT WAR BUT UWU,1539200403657
39,,,,,,,,,0,0,0,Hope Hazard one,1539200403660
40,,,,,,,,,0,0,0,sooyoung beautiful big crush,1539200403663
41,,,,,,,,,0,0,0,There three rules writing novel Unfortunately one knows W Somerset Maugham,1539200403658
43,,,,,,,,,0,0,0,Good girl great choices,1539200403665
44,,,,,,,,,0,0,0,Hope helps dude Can wait playing game dubbing,1539200403663
46,,,,,,,,,0,0,0,Lady Gaga Bradley Cooper A Star Is Born soundtrack aiming No next week Billboard albums chart,1539200403662
47,trump,MAGA,,,,,,,0,0,0,Hodgetwins react Ever since I played Trump black people love trump MAGA,1539200403657
48,,,,,,,,,0,0,0,DEEP DOWN INSIDE I THINK SOME OF YOU WANT BE REPOERS OR JOURNALISTS MAYBE SOME OF THE ISSUES BEING TALKED ABOUT AREN T F,1539200403661
49,FBIWitness,RepSteveStockman,Obama,Holder,,,,,0,0,0,Key FBIWitness Now Says Former RepSteveStockman Innocent Taken Down By Obama amp Holder This happpens you,1539200403660
50,,,,,,,,,0,0,0,Paw Paw legend respected one,1539200403664
51,,,,,,,,,0,0,0,Smelling coffee help reduce stress,1539200403662
52,NOAA42,Michael,,,,,,,0,0,0,Here video I took earlier NOAA crossed SW eyewall Michael eye Incredible storm m,1539200403660
53,,,,,,,,,0,0,0,teacher pay atttention really important brain,1539200403665
54,CooperativeProgram,,,,,,,,0,0,0,Praying Disaster Relief Team trained CooperativeProgram May God open doors bless heal restore save,1539200403658
55,,,,,,,,,0,0,0,titus anyone told today YOU ARE FREAKING ADORABLE,1539200403663
56,,,,,,,,,0,0,0,Google shut consumer version social network Google announcing data u,1539200403661
57,,,,,,,,,0,0,0,Help us help donating new socks collected grade classroom,1539200401661
58,,,,,,,,,0,0,0,Do want pick extra money holiday season Are looking new dental home Sign for,1539200403665
59,Sun_Family,1DDrive,Teamstallion,,,,,,0,0,0,SunFamily DDrive Teamstallion,1539200403662
60,Grays,thurrock,,,,,,,0,0,0,It great opportunity talk new students Grays thurrock today duri,1539200403666
61,,,,,,,,,0,0,0,casey gardner im love,1539200404661
62,,,,,,,,,0,0,0,Every time Ruth BaderGinsburg wakes There s new face SCOTUS,1539200404662
63,,,,,,,,,0,0,0,FBI Refuses To Say Whether It Bought iPhone Unlocking Tech GrayKey,1539200404665
64,,,,,,,,,0,0,0,Karsy fache Mutter,1539200404662
65,,,,,,,,,0,0,0,Sending Ross Thomson question time hands dumbest thing Tories done year really,1539200404663
66,,,,,,,,,0,0,0,re gon na talk jimmy butler scrimmage years sort reverence awe people talk a,1539200404665
67,,,,,,,,,0,0,0,Maybe hair lengthening shampoos sulfates parabens,1539200404657
68,pixelart,ドット絵,,,,,,,0,0,0,Good night pixelart,1539200404658
69,KanyeWest,,,,,,,,0,0,0,calls KanyeWest negro read calls token negro chuck,1539200404665
71,,,,,,,,,0,0,0,Calling Englanders The Man Who Killed Don Trumpote sorry I meant The Man Who Killed Don Quixote opens Cambrid,1539200404662
72,,,,,,,,,0,0,0,Baby girl da action,1539200404657
73,,,,,,,,,0,0,0,Still White Tree Slip Ons,1539200404661
74,ToryPoison,,,,,,,,0,0,0,Can people please add story pertaining evil Tories hashtag ToryPoison Thanks Let,1539200404657
75,,,,,,,,,0,0,0,Every time I Loved somebody let,1539200404662
76,,,,,,,,,0,0,0,Personally I want feel pedantic I try prec,1539200404658
77,,,,,,,,,0,0,0,Hi name Br,1539200404663
78,WDYT,DigitalInfluence,,,,,,,0,0,0,The WDYT campaign proven way retailers towns collaboratively increase DigitalInfluence i,1539200404659
79,,,,,,,,,0,0,0,Holy cow We know Jamal killed room killed body taken dismembered If,1539200404665
80,,,,,,,,,0,0,0,whole different person mars concert always exactly everyone tells super respectful t,1539200405657
