,entities.hashtags.0.text,entities.hashtags.1.text,entities.hashtags.2.text,favorite_count,reply_count,retweet_count,text,timestamp_ms
0,,,,0,0,0,Him You want dick Me,1539198720661
3,,,,0,0,0,Rascal Does Not Dream Bunny Girl Senpai episode On First Dates Trouble Is Essential streaming Crunchyro,1539198720659
5,,,,0,0,0,How I come back slight inconvenience life,1539198720658
6,,,,0,0,0,Wait what Since,1539198720658
7,,,,0,0,0,I skip test questions like I gon na different person I come back,1539198720662
8,,,,0,0,0,He wearing Tae birthday present heart,1539198721666
9,,,,0,0,0,Walker hanging skin teeth Not enough juice tote Vukmir across unless closes po,1539198721658
10,,,,0,0,0,addresses backlash calling XXXTentacion Hip Hop Awards freestyle performance I vehemently reject,1539198721660
11,TheFlattPackShow,,,0,0,0,Hey everyone s TheFlattPackShow ep Origin Stories Myself,1539198721658
12,,,,0,0,0,In honor profoundly ignorant tweet need educate people ever real American history,1539198721664
13,,,,0,0,0,In experience Linux virtually impossible manipulate resistant viruses m,1539198721664
14,,,,0,0,0,If want change world go home love family,1539198721664
16,,,,0,0,0,A good Q may I add one amp likeminded prominent liberals said zero Obama White House emp,1539198721657
17,,,,0,0,0,fact glass slightly right really annoying,1539198721661
19,,,,0,0,0,one person unfollowed automatically checked,1539198721663
20,,,,0,0,0,Who gon na save I need saving,1539198722663
21,,,,0,0,0,pls let borrow ur clothes gt,1539198722659
22,,,,0,0,0,I think loads things knock government government really But I consider extremely insensiti,1539198722660
23,,,,0,0,0,Why nt clear toaster see toasted toast toasting,1539198722657
24,,,,0,0,0,Ready means They knowunderstand goal They equippedem,1539198722663
26,DancingQueen,,,0,0,0,Screw When I decided watch DancingQueen I hoping dance mom drama drag queen,1539198722661
27,,,,0,0,0,Techniques That Will Help You Survive Deadly Battle With Animal Part,1539198722665
28,,,,0,0,0,Jimmy Butler GOAT idc idc idc,1539198722664
29,,,,0,0,0,Alexa play entire country hear,1539198721661
30,,,,0,0,0,If want change world go home love family,1539198721664
31,,,,0,0,0,Screaming one rooftops Be careful labeling items This item be,1539198722665
33,OurDumbSenator,,,0,0,0,Then Trump mouthpieces like OurDumbSenator cry Oh skyrocketing premiums Won someone plee,1539198723662
34,,,,0,0,0,Ecology Evolution Cuckoo Bumble Bees Annals Entomological Society America Oxford Academic,1539198723657
35,,,,0,0,0,All due respect Richard Grenell know consensus choice Dennis Rodman,1539198723666
36,,,,0,0,0,Me hearing bf phone waiting say I I w girl rn,1539198723666
37,,,,0,0,0,Hip hip hooray For CC I need work I love You real cell number Lucy amp Danielle,1539198723663
38,FBLive,ECU,NFL,0,0,0,Now FBLive Terrance Copper joins The Sports Bar talk ECU Football NFL ev,1539198723661
39,,,,0,0,0,Don fakkeeee Let gooooooooo,1539198723662
40,,,,0,0,0,TRANS Hello Depascal I must saved country previous life Thank EXOLS ordering fro,1539198723666
41,,,,0,0,0,Happy Black Speculative Fiction Month also known already done told,1539198723664
42,,,,0,0,0,said fucking born die,1539198724658
43,,,,0,0,0,think hard aobut crush sooo much catch fire,1539198724658
45,,,,0,0,0,School boy milk gay sex video xxx Ryan killer boy cool redirect gay free,1539198724660
47,,,,0,0,0,I piece shit,1539198725662
48,,,,0,0,0,Ok females One built like man dog shit breath And supposedly best friends,1539198725663
49,,,,0,0,0,Probably x Work done u week x,1539198725662
50,,,,0,0,0,This deviant Tory government HAVE blood hands No buts,1539198725660
51,,,,0,0,0,TALENTED IS HONESTLY AN UNDERSTATEMENT FOR HIM,1539198725659
52,,,,0,0,0,Oops I got problems singing bye bye bye Hold wan na go take ride better hit baby one time,1539198725658
53,,,,0,0,0,Is Twitter going continue purge accounts without sharing additional info How many accounts removed For what,1539198725660
54,,,,0,0,0,Score Extra Points Showing Your Team Spirit Home Freshome,1539198725663
55,,,,0,0,0,Reporter What s response Hillary Clinton saying last night s swearingin Justice Kavanaugh pol,1539198725658
56,,,,0,0,0,Republicans want civilly steal right vote,1539198725664
57,,,,0,0,0,Best Lines amp Parts Halloween III Season Witch Videos,1539198724660
59,,,,0,0,0,Don follow I piece shit,1539198726657
60,humpday,,,0,0,0,Hope everyone great humpday,1539198726666
61,,,,0,0,0,Hey fellow people age I see struggling busting ass zero recognition reward,1539198726660
62,,,,0,0,0,A full page ad Metro costs five figures Someone s funding Who And journalists looking in,1539198726662
63,,,,0,0,0,Scuf House appreciation post,1539198726666
64,,,,0,0,0,OH MY GOD THIS IS AMAZING,1539198726660
65,GamePreview,,,0,0,0,Some AFC North football Cincinnati GamePreview,1539198726659
66,,,,0,0,0,yoongi seokjin many lesbian fans yoongi lesbians lady gaga gay men seokjin les,1539198726665
68,,,,0,0,0,BOOM In fact embraced amp elevated inside admin The REAL story inside sec,1539198726659
69,,,,0,0,0,Add snap BrandonRowland add back,1539198726666
70,,,,0,0,0,makes great dudes back,1539198726660
71,,,,0,0,0,Parents feeding kids cannabis oil calm,1539198726665
72,,,,0,0,0,Ongoing Recruitment In A Renowned Hospitality Company,1539198727659
73,,,,0,0,0,My boyfriend soooooo big amp bad goin bed wan na lil spoon huh,1539198727662
76,,,,0,0,0,Gain actives real quick Retweet Follow back Follow back Retweets,1539198727658
77,,,,0,0,0,I badtameeez WBU,1539198727661
