,entities.hashtags.0.text,entities.hashtags.1.text,entities.hashtags.2.text,entities.hashtags.3.text,entities.hashtags.4.text,entities.hashtags.5.text,favorite_count,reply_count,retweet_count,text,timestamp_ms
0,MentalHealthDay,BooksAMillion,,,,,0,0,0,MentalHealthDay day global mental health education awareness Find tools selfhelp BooksAMillion t,1539200760659
1,,,,,,,0,0,0,seokjin used compliment term like seeing someone lookin fine omg u look seokjin somethi,1539200760665
2,,,,,,,0,0,0,Chanyeol white passing,1539200760657
3,,,,,,,0,0,0,When go low end floor clutching nuts wondering could ended lik,1539200760663
4,PlayHouseFalseHopes,,,,,,0,0,0,PlayHouseFalseHopes Hello everyone,1539200760661
5,,,,,,,0,0,0,Selfie Slut get tight little ass pounded,1539200760662
6,,,,,,,0,0,0,Retweet good luck,1539200760660
7,,,,,,,0,0,0,Looking buy Male Supreme Model MALE ONLY Please,1539200760657
8,SEYMYUREAL,,,,,,0,0,0,Eroskiller Mon Rap Clip Officiel SEYMYUREAL via,1539200760659
10,,,,,,,0,0,0,We thrilled board We keep updated progr,1539200760663
11,,,,,,,0,0,0,Either RatedR Carnage Carnage This goes Marvel Studios AND Sony,1539200760665
12,,,,,,,0,0,0,China s state television company purchased South Africa s biggest newspaper chain The result anyone crit,1539200760659
15,,,,,,,0,0,0,I m Sikh family absolutely wrongSerious Sikh riders wear parna small cloth turban un,1539200760666
16,,,,,,,0,0,0,Messi next World Cup swings around He far spoken international plans altho,1539200760660
17,,,,,,,0,0,0,People literally destroy try make feel bad feeling way,1539200761666
18,,,,,,,0,0,0,Jimmy Butler screamed You win without return Timberwolves practice today per,1539200761660
19,,,,,,,0,0,0,mental health may invisible real nt struggle silence make sure reach ones,1539200761664
20,TIDALXBrooklyn,,,,,,0,0,0,Lil Wayne Lauryn Hill Meek Mill perform TIDALXBrooklyn benefit concert,1539200761657
21,,,,,,,0,0,0,This type meal got ta shower eat done go straight sleep,1539200761665
22,,,,,,,0,0,0,Big River Font Duo Pixelify Best Free Fonts Mockups Templates Vectors,1539200761662
23,,,,,,,0,0,0,albums spent weeks Billboard s World Albums chart They continue raise bar when,1539200761666
24,NehhaPendse,,,,,,0,0,0,Vote For NehhaPendse Guys ONE ID ONE VOTE ONLY VOTE THROUGH VOOT APP,1539200761663
25,,,,,,,0,0,0,A look week s PGA Tour field rankings,1539200761660
27,harryshumjr,TheMaleTvStar,PCAs,,,,0,0,0,We vote harryshumjr TheMaleTvStar E People Choice Awards PCAs Make sure tweet,1539200761664
28,,,,,,,0,0,0,Massachusetts thriving Hispanic community makes huge additions Commonwealth country I proud to,1539200761660
29,,,,,,,0,0,0,Massachusetts thriving Hispanic community makes huge additions Commonwealth country I proud to,1539200761660
30,,,,,,,0,0,0,Hurricane Michael Photos amp Videos OF The Treacherous Storm Destruction As It Makes,1539200761666
31,,,,,,,0,0,0,CA NT KNOCK THE HUSTLE,1539200762658
32,,,,,,,0,0,0,It s Avengers Register Vote,1539200762659
33,,,,,,,0,0,0,Dear Community We proud present Beta ProductMVP Join cryptocurrency trading ecosy,1539200762666
34,,,,,,,0,0,0,We re always interested facts,1539200762657
35,,,,,,,0,0,0,crush looks cute today seen know,1539200762660
36,,,,,,,0,0,0,New Vinyl Album Hill Bowen And His Orchestra Instrumental Hits From The Music Man RCA Camden,1539200762662
37,,,,,,,0,0,0,We know Claire would try impeach Kavanaugh heartbeat Chuck Schumer ordered This another,1539200762662
38,hiring,Pooler,CustomerService,Job,Jobs,CareerArc,0,0,0,Want work Lowe s We re hiring Pooler GA Click details CustomerService Job Jobs CareerArc,1539200762660
39,,,,,,,0,0,0,Mitch McConnell worried presidential harassment The Week,1539200762663
40,,,,,,,0,0,0,Please go home take nap,1539200762662
41,,,,,,,0,0,0,couple friends use great interface easy themes great integrations lots ancilla,1539200762657
42,,,,,,,0,0,0,Girls love say get phone half hour want attention,1539200761660
43,,,,,,,0,0,0,Thanks confirming Uber immediate hire market Something politicians went great pains emphasise ma,1539200762665
44,PS4share,,,,,,0,0,0,Feel free download CAW WWE K Search hashtag BrazilianHoneyy PSshare,1539200762665
45,,,,,,,0,0,0,Damn really give fuck people feelings Could never,1539200762666
46,,,,,,,0,0,0,Are ready New Haven Special guest I going support album The Waking Hou,1539200763666
47,,,,,,,0,0,0,Realtors Applaud Senate Passage WRDA Bill,1539200763659
48,,,,,,,0,0,0,I like say raised bar instead paved way paved way implies anyone walk the,1539200763657
50,,,,,,,0,0,0,No makes total sense I dream mankind targeted virus killed a,1539200763661
51,psat,psatmemes,,,,,0,0,0,looking psat memes realizing I failed like half test psat psatmemes,1539200763659
52,,,,,,,0,0,0,I hate waiting,1539200763664
53,,,,,,,0,0,0,I quit job I feel like whole bunch pressure went away,1539200763666
54,,,,,,,0,0,0,What disgrace uniform,1539200763663
55,,,,,,,0,0,0,stuffed bell peppers mac cheese else,1539200763660
56,,,,,,,0,0,0,Wen u touch everything u changes man blessed,1539200763661
57,,,,,,,0,0,0,anyway carefree deer world prancing along beach dawn,1539200763664
59,,,,,,,0,0,0,But conclude technically possible achieve rapid changes required avoid degrees of,1539200763664
60,,,,,,,0,0,0,They got right,1539200763665
61,DaraaCamp,,,,,,0,0,0,Residents Daraa Camp Launch Cry Help Trash Mounds DaraaCamp,1539200763659
