,entities.hashtags.0.text,entities.hashtags.1.text,entities.hashtags.2.text,entities.hashtags.3.text,entities.hashtags.4.text,entities.hashtags.5.text,favorite_count,reply_count,retweet_count,text,timestamp_ms
0,,,,,,,0,0,0,What life bruhh I m inlove queen,1539199740664
1,,,,,,,0,0,0,Put money money counter I got trust issues I count,1539199740664
2,,,,,,,0,0,0,Why nt anyone tell show Netflix might something Spooky Cute Martha Stewartmeets,1539199740664
3,,,,,,,0,0,0,Mas tonto naces Fuckin facha,1539199740659
4,,,,,,,0,0,0,Why learn love full stop via,1539199740662
5,,,,,,,0,0,0,That shit nasty,1539199740662
6,NAT4352,,,,,,0,0,0,Lots inspiration outdoor play NAT,1539199740661
7,,,,,,,0,0,0,Yeah code probs game im streaming today,1539199740658
8,,,,,,,0,0,0,I suggest finds feminazis,1539199740661
9,,,,,,,0,0,0,Triple Draw served Felt Platter We Are What We Grow Beyond,1539199740662
10,,,,,,,0,0,0,CNN Political Analyst Tells Laughing Host Don Lemon Kanye West Is What Happens When Negroes Don Read A couple week,1539199740660
11,,,,,,,0,0,0,I carried people legacy seized control entire universe My son Frieza rule me,1539199740663
12,,,,,,,0,0,0,SAWFT ass league amp refs,1539199740663
13,IU,BBIBBI,아이유,삐삐,IU10thAnniversarySingle,iU_BBIBBI,0,0,0,MV KST IU BBIBBI reached M views IUthAnniversarySingle iUBBIBBI Watch,1539199740662
14,,,,,,,0,0,0,alright tell men take part action obligated leave walk away h,1539199740658
15,,,,,,,0,0,0,The first building Marigold Lands Steve Mann amp Tim Hackett underway It storeys units T,1539199740659
16,,,,,,,0,0,0,So excited host favorite podcast show tonight If listened to,1539199740665
17,,,,,,,0,0,0,Everyone welcome back one Founding Fathers Evox Phantom Designed friend,1539199740659
18,,,,,,,0,0,0,Last day PIP Programme culminating interactive understanding jacobit,1539199740664
19,,,,,,,0,0,0,Mobile robotics taking furniture whole new level,1539199741663
20,,,,,,,0,0,0,It rare find someone genuinely cares wants see achieve goals wan,1539199741663
21,,,,,,,0,0,0,Yesterday Cove Guardian crew witnessed rd drive season A pod Risso Dolphins driven the,1539199741663
22,,,,,,,0,0,0,Breaking Jon Jones vs Alexander Gustafsson UFC Dec Las Vegas booked multiple sources clos,1539199741659
23,,,,,,,0,0,0,ERIC HOLDER CALLS FOR VIOLENCE When Republicans Go Low We Kick Them VIDEO via,1539199741661
