,entities.hashtags.0.text,entities.hashtags.1.text,entities.hashtags.2.text,entities.hashtags.3.text,entities.hashtags.4.text,entities.hashtags.5.text,entities.hashtags.6.text,entities.hashtags.7.text,favorite_count,reply_count,retweet_count,text,timestamp_ms
0,,,,,,,,,0,0,0,Ohio University Student Charged After Claiming She Received Death Threats She Sent Them To Herself She journalism m,1539201420662
1,,,,,,,,,0,0,0,News anchors said done crazy funny things air killed NTVTonig,1539201420666
2,,,,,,,,,0,0,0,Hey This Join us wall Get banner,1539201420657
3,,,,,,,,,0,0,0,send meme h,1539201420660
4,,,,,,,,,0,0,0,whats favorite position bed near wall I use phone its charging,1539201420661
5,,,,,,,,,0,0,0,You sundown today Though I could give weeks would never find diabolical hiding,1539201420661
6,LIKE,SHARE,,,,,,,0,0,0,LIKE SHARE tell page find circled Bananagrams Catalogue Close,1539201420660
7,,,,,,,,,0,0,0,nt much SP,1539201420664
8,,,,,,,,,0,0,0,Incredible piece Ratte Frost another participant TranScript Writers All work created course wi,1539201420659
9,,,,,,,,,0,0,0,WHAT DID YOU THINK OF THE VIDEO,1539201420663
10,PetSematary,,,,,,,,0,0,0,Sometimes dead better Watch official trailer PetSematary based terrifying novel In the,1539201420659
11,psat2018,,,,,,,,0,0,0,guys fucking wild psat memes omg,1539201420665
12,,,,,,,,,0,0,0,Oh matter A whole lot even know,1539201420663
15,,,,,,,,,0,0,0,UGG CLASSIC SHO II SEASHELL PINK SUEDE SHEEPSKIN WOMEN S BOOTS SIZE US NEW,1539201420660
16,,,,,,,,,0,0,0,Snapchat Girls Looking For Sex,1539201421664
17,,,,,,,,,0,0,0,maybe Madden rookie mode lol,1539201421662
18,,,,,,,,,0,0,0,really time feel sorry college You either adapt fold,1539201421658
19,,,,,,,,,0,0,0,sorry art spam ive inspireD,1539201421658
20,,,,,,,,,0,0,0,um bad bitch,1539201421662
21,,,,,,,,,0,0,0,Hi name Br,1539201421657
22,,,,,,,,,0,0,0,The way move ai nt fair know,1539201421659
23,,,,,,,,,0,0,0,matter many new animals mans encounter never forgot canela true love right,1539201421663
24,WorldMentalHealthDay,,,,,,,,0,0,0,WorldMentalHealthDay Narcissistic personality disorder,1539201421657
25,WorldMentaHealthDay,,,,,,,,0,0,0,WorldMentaHealthDay forget check amp check loved ones,1539201421658
26,,,,,,,,,0,0,0,Over days ago Public Health Alcohol Bill started prelegislative scrutiny Health amp Children Com,1539201421658
27,InternetOfThings,IoT,Tech,Business,,,,,0,0,0,Benefits Industrial IoT Condition Monitoring InternetOfThings IoT Tech Business,1539201421662
29,,,,,,,,,0,0,0,Thank I nominate,1539201421666
30,,,,,,,,,0,0,0,Today I encountered bit problem I would like say actually working custome,1539201422665
31,,,,,,,,,0,0,0,Crying good health Flushing unhealthy bacteria body strengthening immune system relievi,1539201422664
32,,,,,,,,,0,0,0,Here something I found interesting Can figure A rebus pictogram represents word phrase or,1539201422663
33,,,,,,,,,0,0,0,A man relishes angry crowd chanting lock sitting US Senator real president That man,1539201422658
35,,,,,,,,,0,0,0,ICYMI If consequences seemingly false allegations accusations bet left use th,1539201421657
36,,,,,,,,,0,0,0,Shut u fooking coont,1539201422657
37,MONSTA_X,MONSTAX,THE_CONNECT,JAPAN,OSAKA,몬스타엑스월드투어,일본,오사카,0,0,0,MONSTAX MONSTAX WORLD TOUR lt THECONNECT gt IN JAPAN OSAKA MXNDWORL,1539201422659
38,,,,,,,,,0,0,0,THREAD The UN reported today years stop climate change see catastrophic environmental di,1539201422659
39,,,,,,,,,0,0,0,Anthony Hopkins plays man eats people Silence Lambs therefore must support cannibalism,1539201422662
40,,,,,,,,,0,0,0,Black crack baby,1539201422660
41,,,,,,,,,0,0,0,lt lt UPDATE gt gt Water back ON along Greenleaf Ave Uptown Thanks Public Works staff taking care busines,1539201422659
42,,,,,,,,,0,0,0,This Is BLACKOUT,1539201422666
43,,,,,,,,,0,0,0,I think lamfo word I sure get one day,1539201423657
45,,,,,,,,,0,0,0,clean keep bloody stuff USA,1539201423657
46,,,,,,,,,0,0,0,Things like tolerated let slide thing used fight Justi,1539201423665
47,,,,,,,,,0,0,0,Hey underwear look good butt,1539201423663
48,,,,,,,,,0,0,0,Michael homeless lives bin avoid abuse He one growing number people UK returning homeless,1539201423657
50,,,,,,,,,0,0,0,loving sacrafice know gave power destroy thats exactly,1539201423658
51,,,,,,,,,0,0,0,This Sid He got famous years ago holding piece pizza Wanted let everyone know still thriving,1539201423665
52,,,,,,,,,0,0,0,The translated version took unexpected turn,1539201423663
53,,,,,,,,,0,0,0,ICYMI If consequences seemingly false allegations accusations bet left use th,1539201421657
54,,,,,,,,,0,0,0,Night night Hope s lovely Wednesday,1539201423666
55,,,,,,,,,0,0,0,This dumbest idiotic protocol I ever heard This snow storm nee,1539201424657
56,,,,,,,,,0,0,0,Haven clue talking sort remoaners gobblygook,1539201424664
57,,,,,,,,,0,0,0,Good morning women sense humor beautiful soul match,1539201424662
58,,,,,,,,,0,0,0,Hurricane Michael ripping Florida Panhandle political groups tearing norms running attack ads TV th,1539201424657
59,worldmentalhealthday,,,,,,,,0,0,0,It worldmentalhealthday Which Twitter account find inspiring helpful comes looking your,1539201424662
61,,,,,,,,,0,0,0,Get Free Leadership Advice To Start Finish Your Next Project A Way To Impactful Work,1539201423666
62,,,,,,,,,0,0,0,So uh happening tomorrow sti,1539201424659
63,,,,,,,,,0,0,0,Night night Hope s lovely Wednesday,1539201423666
64,,,,,,,,,0,0,0,eBay Chevrolet Business Coupe Full Pressure Engine Chevy Business Coupe Speed Column Shift Manual Older Res,1539201424662
65,,,,,,,,,0,0,0,Committed change group public health graduate students working spark conversation around conditions,1539201424663
66,,,,,,,,,0,0,0,holy fucking shit I m hang I stg I ve got get ready work,1539201425659
67,,,,,,,,,0,0,0,look like thumbs bitch,1539201425665
68,,,,,,,,,0,0,0,I added video playlist Let Us Assist You,1539201425665
69,,,,,,,,,0,0,0,homophobic racist transphobic biphobic women abortion rights GET THE FUCK OFF MY PROF,1539201425662
70,,,,,,,,,0,0,0,All pictures see part She s In The Rain MV The Rose Jonghyun s ig I m crying that,1539201425665
71,,,,,,,,,0,0,0,Hey If re feeling low alone stop faking Stop hiding Please tell someone trust today If noti,1539201425658
72,,,,,,,,,0,0,0,NW st Ave HM technicians believe product benign scene bit longer initial concerns,1539201425665
73,PSAT,,,,,,,,0,0,0,PSAT Ziah thank His mom,1539201425658
74,,,,,,,,,0,0,0,Lashes me Book me,1539201425662
76,,,,,,,,,0,0,0,join MWM fun,1539201423663
77,,,,,,,,,0,0,0,The older I get attractive stability becomes I want peace mind nonstressful environment,1539201425660
78,,,,,,,,,0,0,0,We flake snow,1539201425662
79,twitchstreamer,ootd,twitchkittens,,,,,,0,0,0,All captions start hi But clearly one twitchstreamer ootd twitchkittens,1539201425666
80,,,,,,,,,0,0,0,A reminder us A lot people looks okay outside pero deep inside feel pain empty n darkness alwa,1539201425658
81,,,,,,,,,0,0,0,You spelled human trafficking wrong,1539201425662
