,entities.hashtags.0.text,entities.hashtags.1.text,entities.hashtags.2.text,favorite_count,reply_count,retweet_count,text,timestamp_ms
0,,,,0,0,0,Can thank God kids saved sex trafficking today Michigan,1539201300665
1,,,,0,0,0,DEAR HAIR PLEASE GROW DEAR CASH PLEASE FLOW DEAR ASS NEED MO,1539201300659
2,GainWithPyeWaw,,,0,0,0,fast retweets followers RETWEET follow back Follow everybody RETWEETS Let s GO GainWithPyeWaw,1539201300661
3,TommyRobinson,,,0,0,0,TommyRobinson patriot Our Armed Forces patriots Why nt share,1539201300661
4,,,,0,0,0,Maybe re putting smokescreen attention draw studentsalumn,1539201300660
5,,,,0,0,0,WATCH Video Shows Widespread Damage In Panama City Beach Florida,1539201300659
6,,,,0,0,0,love u kteer ok,1539201300666
7,,,,0,0,0,Unfortunately pick choose help days Sad true It also di,1539201300663
8,,,,0,0,0,Gon na stream bo last time couple hours,1539201300661
9,,,,0,0,0,No Country For Old Men Directors Joel amp Ethan Coen Cinematographer Roger Deakins,1539201300666
10,,,,0,0,0,Let never forget left used Christine Ford smear attack Kavanaugh family Imagine torture that,1539201300665
13,,,,0,0,0,Duh bitch aint fuckin air water,1539201300665
14,,,,0,0,0,US officials able lure Chinese spy allegedly targeted experts American aeronautics companies Bel,1539201300657
15,,,,0,0,0,They re vulnerable quick catch phrases simplistic explanations intended boost con,1539201300657
16,,,,0,0,0,These teams got loyalty inside DNA,1539201300663
17,,,,0,0,0,bts please flex tl ONCE PLEASE stop humble fuck everyone hates cleaning dir,1539201300660
18,PS4,,,0,0,0,Gaijin Would Be Very Happy If Sony Lifted PS CrossPlay Limitations Isn Celebrating,1539201300663
19,WordlessWednesday,,,0,0,0,It s Wednesday That means time WordlessWednesday Stop share pictures see Fall Famil,1539201300657
20,Elias,WalkWithElias,,0,0,0,Elias WalkWithElias Still debating I m going keep shirt I feel like s probably one of,1539201300664
21,,,,0,0,0,AVB remain Dee,1539201300662
22,,,,0,0,0,IFB Follow back wh,1539201301658
23,,,,0,0,0,All dogs come soundtrack,1539201301665
24,,,,0,0,0,Video Incredibly terrifying video portion hotel broadcasting collapsed live TV,1539201301659
25,,,,0,0,0,Thank I trued make sure covered lot different things entertaining well So glad like xx,1539201301663
27,inktober,,,0,0,0,Last minute rushed inktober cute Shiro,1539201301666
28,,,,0,0,0,This fun question seem sensitive numbers LoL What valuation Blockchain ca,1539201301666
29,,,,0,0,0,Duh bitch aint fuckin air water,1539201301658
30,,,,0,0,0,It s I sayingtweeting along This well orchestrated whitehall inspi,1539201301663
31,,,,0,0,0,The Great Bank Heist report alarming highlights roles range individuals institutions hein,1539201301660
32,,,,0,0,0,Breaking news The incredible KELLY KHUMALO headline performer Avon Justine iThemba Walkathon Oct,1539201301666
33,,,,0,0,0,According witnesses member Conor McGregor s camp called Khabib fcking Muslim rat ignited postfight br,1539201301663
34,,,,0,0,0,This currently funniest video internet,1539201301658
35,WorldMentalHealthDay,,,0,0,0,Tonight ll talking brand new single WorldMentalHealthDay ll discuss,1539201302661
37,,,,0,0,0,They never define assault weapon is automatic Then already banned lol,1539201302666
38,,,,0,0,0,We need woman grab mic back,1539201302662
40,,,,0,0,0,Sure agree say yes always way say well WTFork,1539201302663
41,EirDontCare,,,0,0,0,Not true Went store twice today spent hours total phone EirDontCare refuse lift t,1539201302665
42,,,,0,0,0,Twitter bitchass changin headerthey sumthin,1539201302657
43,,,,0,0,0,Their info guide says nt properly registered determined county win days,1539201302658
44,dnd,dungeonsanddragons,dnd5e,0,0,0,Be hero play tables dnd dungeonsanddragons dnde,1539201302665
45,,,,0,0,0,Thank caring homeless placing Prop C,1539201302666
46,,,,0,0,0,rt stan following ariana grande dove cameron sofi carson forever mind sabrina carpenter ca,1539201302666
47,,,,0,0,0,Luol Deng walked practice today saw Jimmy Butler cussing everyone,1539201302666
49,,,,0,0,0,mini moon black lady,1539201303660
50,,,,0,0,0,How Does GM Don tcallitafourcylinder Turbo Truck Engine Stack Up When GM released EPAestimated fuel economy,1539201303664
51,,,,0,0,0,Ok using super junior picture,1539201303658
52,,,,0,0,0,OutrageousUnjust R North Dakota make harder Native Americans vote Requiring street address many t,1539201303664
53,,,,0,0,0,good morning everyone except unregistered voters,1539201303664
54,,,,0,0,0,After liqour hit look better,1539201303659
