,entities.hashtags.0.text,entities.hashtags.1.text,entities.hashtags.2.text,entities.hashtags.3.text,entities.hashtags.4.text,entities.hashtags.5.text,favorite_count,reply_count,retweet_count,text,timestamp_ms
0,soros,,,,,,0,0,0,Who got check soros Just got mad loaded Bout save food stamps,1539200160657
1,SimpleWaysToUnwind,,,,,,0,0,0,SimpleWaysToUnwind break cheap dishes bought garage sale,1539200160660
2,,,,,,,0,0,0,It s It s You show info one Grid container Firefox Grid Inspector In Firefox,1539200160661
3,,,,,,,0,0,0,When gas light turns u fill AGAIN,1539200160664
4,,,,,,,0,0,0,If Jin joins military still member bts army,1539200160661
5,,,,,,,0,0,0,Senate Doxxer Jackson Cosko Held Without Bond Judge Considers Him Too Dangerous Release VIDEO,1539200160657
6,,,,,,,0,0,0,Okay October means focusing women peace security month We got lots lined,1539200160666
7,,,,,,,0,0,0,Clit dirt forsure smoking,1539200160664
9,,,,,,,0,0,0,said say body ever busy truly care make time,1539200160663
10,,,,,,,0,0,0,upsetting tweet numbers u REALLY LIKE ME TO FEEL PAIN DONT YOU,1539200160664
11,,,,,,,0,0,0,FENDI FW Menswear Lookbook,1539200160664
12,,,,,,,0,0,0,guys think gay wear black nail polish eyeshadow rings etc DO YALL KNOW HOW MUCH PUSSY YALL CO,1539200161666
13,,,,,,,0,0,0,When Psychic sends email offering free reading already know deleted,1539200161657
14,beards,beardgang,beardstyle,beardsofinstagram,barber,barbergang,0,0,0,Any bearded guys like guns beards beardgang beardstyle beardsofinstagram barber barbergang,1539200161664
16,,,,,,,0,0,0,Seeing Carrie Underwood dancing Shawn Mendes performance AMAs sweet cute,1539200161658
17,flwx,,,,,,0,0,0,Eyewall Michael Tyndall AFB Full sunshine eye Experience lifetime Now pray people affected flwx,1539200161663
19,,,,,,,0,0,0,Let s quick Skull Squad giveaway Winner receive equivalent VBucks Paypal Gift Card buy a,1539200161659
20,,,,,,,0,0,0,Let We tear afterwards Knowing country probably wont fix,1539200161657
21,Azure,CloudComputing,,,,,0,0,0,Setting SharePoint dev farm Azure Part SQL Server CloudComputing,1539200161658
22,,,,,,,0,0,0,In Winters While You Are Bathing amp You Be Like,1539200161659
23,,,,,,,0,0,0,This scene always cracks fuck lmao The fact rock line script ludacris,1539200161662
24,,,,,,,0,0,0,Someone stinking bus I m hoenslty gon na jump day getting BETTER AND BETTER,1539200161657
25,,,,,,,0,0,0,Hate burst optimistic mood But Blue Wave coming Dems win back senate In f,1539200161662
27,MentalHealthAwarenessDay,,,,,,0,0,0,Be kind Be supportive Just cos see something mean MentalHealthAwarenessDay,1539200162660
30,,,,,,,0,0,0,Alexa play entire country hear,1539200162665
31,thetruthuntold,,,,,,0,0,0,Amazing rendition thetruthuntold absolutely phenomenal piano playing,1539200162658
